opened,closed,px_open,px_close,long_strike,short_strike,long_delta,short_delta,expiration,dte,days_held,contracts,debit,cost,entry_equity,equity_fraction,value_at_close,gross_pnl,fees,net_pnl,reason,multiple
2018-09-21,2018-10-08,183.71,179.05,190.0,193.5,0.2055,0.07767,2018-10-26,35,17,10,0.54,540.0,41964.0,0.012868172719473835,0.039999999999999994,-500.0,26.0,-526.0,SL,0.07407407407407406
2018-10-05,2018-10-10,180.15,171.73,188.0,193.0,0.21548,0.06673,2018-11-09,35,5,10,0.9199999999999999,920.0,40129.0,0.022926063445388622,0.05,-869.9999999999999,26.0,-895.9999999999999,SL,0.05434782608695653
2018-10-12,2018-10-24,174.32,165.34,183.0,189.0,0.211,0.06024,2018-11-16,35,12,10,1.0,1000.0,39160.0,0.02553626149131767,0.09,-910.0,26.0,-936.0,SL,0.09
2018-10-19,2018-10-24,173.02,165.34,181.5,187.5,0.21492,0.07326,2018-11-23,35,5,10,1.02,1020.0,38687.0,0.026365445756972628,0.1,-920.0,26.0,-946.0,SL,0.09803921568627451
2018-10-26,2018-11-14,166.66,165.2,177.5,184.0,0.21623,0.07253,2018-11-30,35,19,10,1.15,1149.9999999999998,37278.0,0.030849294490047745,0.09000000000000001,-1059.9999999999998,26.0,-1085.9999999999998,SL,0.07826086956521741
2018-11-02,2018-11-14,169.38,165.2,179.0,185.0,0.2044,0.0763,2018-12-07,35,12,10,0.95,950.0,37045.0,0.025644486435416385,0.14,-810.0,26.0,-836.0,SL,0.1473684210526316
2018-11-09,2018-11-19,171.52,162.06,180.0,185.5,0.21279,0.0787,2018-12-14,35,10,10,0.8200000000000001,820.0,36612.0,0.02239702829673331,0.04000000000000001,-780.0,26.0,-806.0,SL,0.04878048780487806
2018-11-16,2018-11-23,167.5,159.21,177.0,183.0,0.20478,0.07562,2018-12-21,35,7,10,0.8599999999999999,859.9999999999999,34743.0,0.024753187692484815,0.12000000000000001,-739.9999999999999,26.0,-765.9999999999999,SL,0.13953488372093026
2018-11-30,2018-12-07,169.37,161.38,178.5,185.0,0.20473,0.0547,2019-01-04,35,7,10,0.97,970.0,36081.0,0.026883955544469387,0.020000000000000004,-950.0,26.0,-976.0,SL,0.02061855670103093
2018-11-23,2018-12-17,159.21,157.43,168.5,176.0,0.22113,0.06986,2018-12-28,35,24,10,1.06,1060.0,33784.0,0.03137579919488515,0.16,-900.0,26.0,-926.0,SL,0.1509433962264151
2018-12-07,2018-12-19,161.38,154.53,171.0,177.5,0.21593,0.0707,2019-01-11,35,12,10,1.04,1040.0,32675.0,0.03182861514919663,0.06,-980.0,26.0,-1006.0,SL,0.05769230769230769
2018-12-14,2018-12-20,161.08,152.29,171.0,178.0,0.20801,0.07062,2019-01-18,35,6,10,0.97,970.0,31682.0,0.030616753992803485,0.15,-820.0,26.0,-846.0,SL,0.15463917525773196
2018-12-21,2019-01-25,147.57,165.15,158.5,166.0,0.21476,0.07245,2019-01-25,35,35,10,1.15,1149.9999999999998,30030.0,0.03829503829503829,6.32,5170.0,26.0,5144.0,EXP,5.495652173913044
2018-12-28,2019-02-01,152.97,167.45,164.5,172.0,0.21051,0.06496,2019-02-01,35,35,10,1.22,1220.0,30827.0,0.03957569662957797,2.81,1590.0,26.0,1564.0,EXP,2.3032786885245904
2019-01-04,2019-02-08,156.23,168.56,166.0,172.0,0.21605,0.06907,2019-02-08,35,35,10,1.04,1040.0,30934.0,0.03361996508695933,2.35,1310.0,26.0,1284.0,EXP,2.2596153846153846
2019-01-11,2019-02-15,160.69,171.94,169.0,175.0,0.22812,0.06161,2019-02-15,35,35,10,0.99,990.0,33041.0,0.02996277352380376,2.9400000000000004,1950.0000000000002,26.0,1924.0000000000002,EXP,2.96969696969697
2019-01-25,2019-03-01,165.15,174.39,172.5,177.5,0.21152,0.07145,2019-03-01,35,35,10,0.81,810.0,37185.0,0.021782977006857603,1.8699999999999999,1059.9999999999998,26.0,1033.9999999999998,EXP,2.3086419753086416
2019-02-01,2019-03-07,167.45,171.43,174.5,180.0,0.2099,0.071,2019-03-08,35,34,10,0.8,800.0,38319.0,0.02087737153892325,0.0,-800.0,26.0,-826.0,SL,0.0
2019-03-08,2019-04-03,171.17,183.78,178.0,182.5,0.20689,0.06787,2019-04-12,35,26,10,0.6599999999999999,659.9999999999999,40154.0,0.01643671863326194,3.6899999999999995,3029.9999999999995,26.0,3003.9999999999995,TP,5.590909090909091
2019-03-29,2019-05-03,179.66,191.11,186.5,190.5,0.20129,0.07108,2019-05-03,35,35,10,0.68,680.0,41971.0,0.016201663053060446,3.7300000000000004,3050.0,26.0,3024.0,EXP,5.485294117647059
2019-04-05,2019-05-08,184.66,185.77,191.5,196.0,0.20806,0.06745,2019-05-10,35,33,10,0.6399999999999999,639.9999999999999,43905.0,0.01457692745700945,0.060000000000000005,-579.9999999999999,26.0,-605.9999999999999,SL,0.09375000000000003
2019-04-26,2019-05-10,190.65,185.0,197.0,202.5,0.21618,0.06515,2019-05-31,35,14,10,0.72,720.0,46032.0,0.01564129301355579,0.02,-700.0,26.0,-726.0,SL,0.02777777777777778
2019-05-03,2019-05-10,191.11,185.0,197.5,202.5,0.21492,0.0735,2019-06-07,35,7,10,0.75,750.0,46556.0,0.016109631411633303,0.06,-690.0,26.0,-716.0,SL,0.08
2019-05-10,2019-05-22,185.0,181.02,192.5,197.0,0.20279,0.07189,2019-06-14,35,12,10,0.77,770.0,44134.0,0.017446866361535324,0.09,-680.0,26.0,-706.0,SL,0.11688311688311688
2019-05-17,2019-05-28,183.04,177.49,191.0,196.0,0.20177,0.05505,2019-06-21,35,11,10,0.71,710.0,43631.0,0.016272833535788775,0.1,-610.0,26.0,-636.0,SL,0.14084507042253522
2019-05-24,2019-06-03,178.16,170.12,186.0,192.0,0.22849,0.06388,2019-06-28,35,10,10,0.97,970.0,42825.0,0.02265032107413894,0.08,-890.0,26.0,-916.0,SL,0.08247422680412371
2019-05-31,2019-07-01,173.95,189.26,183.0,189.0,0.20125,0.06715,2019-07-05,35,31,10,0.8999999999999999,899.9999999999999,42079.0,0.021388340977684828,4.95,4050.0000000000005,26.0,4024.0000000000005,TP,5.500000000000001
