date,equity,holding,branch,cash,shares
2015-10-14,128498.88011340446,TECL,bear_trend_long,6188.306602280805,40732
2015-10-15,132754.76455668756,TECL,bear_trend_long,6188.306602280805,40732
2015-10-16,133827.985647958,TECL,bear_trend_long,6188.306602280805,40732
2015-10-19,132321.58412617064,TECS,bear_trend_inverse,132321.58412617064,0
2015-10-20,132321.58412617064,TECS,bear_trend_inverse,132321.58412617064,0
2015-10-21,129101.3815117889,TECL,bear_trend_long,6616.602653604088,39944
2015-10-22,137339.62009249264,TECL,bear_trend_long,6616.602653604088,39944
2015-10-23,147064.55947038432,TQQQ,bull_trend,7341.157944886887,59828
2015-10-26,147479.41675111552,TQQQ,bull_trend,7341.157944886887,59828
2015-10-27,148392.10562154552,TQQQ,bull_trend,7341.157944886887,59828
2015-10-28,151663.57850477,TQQQ,bull_trend,7341.157944886887,59828
2015-10-29,151130.18649694225,TQQQ,bull_trend,7341.157944886887,59828
2015-10-30,149162.55281945964,TQQQ,bull_trend,7341.157944886887,59828
2015-11-02,153998.5985157182,TQQQ,bull_trend,7341.157944886887,59828
2015-11-03,155397.2655031373,TQQQ,bull_trend,7341.157944886887,59828
2015-11-04,155456.49007436534,TQQQ,bull_trend,7341.157944886887,59828
2015-11-05,154152.6936609437,TQQQ,bull_trend,7341.157944886887,59828
2015-11-06,154638.6289856126,TQQQ,bull_trend,7341.157944886887,59828
2015-11-09,149897.45386335155,TQQQ,bull_trend,7341.157944886887,59828
2015-11-10,148889.95147535106,TQQQ,bull_trend,7341.157944886887,59828
2015-11-11,148261.70315763255,TQQQ,bull_trend,7341.157944886887,59828
2015-11-12,144172.41197797557,TQQQ,bull_trend,7341.157944886887,59828
2015-11-13,142386.22743024075,TECS,bear_relative_inverse,142386.22743024075,0
2015-11-16,142386.22743024075,TECS,bear_relative_inverse,142386.22743024075,0
2015-11-17,141962.42924931247,TQQQ,bull_trend,7120.4075141211215,59929
2015-11-18,149691.7954798003,TQQQ,bull_trend,7120.4075141211215,59929
2015-11-19,149905.51818134982,TQQQ,bull_trend,7120.4075141211215,59929
2015-11-20,152743.10926034648,TQQQ,bull_trend,7120.4075141211215,59929
2015-11-23,151567.67726638514,TQQQ,bull_trend,7120.4075141211215,59929
2015-11-24,151116.59920194346,TQQQ,bull_trend,7120.4075141211215,59929
2015-11-25,151437.05466058452,TQQQ,bull_trend,7120.4075141211215,59929
2015-11-27,151959.50221922595,TQQQ,bull_trend,7120.4075141211215,59929
2015-11-30,151045.31543686587,TQQQ,bull_trend,7120.4075141211215,59929
2015-12-01,155319.61229779918,TQQQ,bull_trend,7120.4075141211215,59929
2015-12-02,152624.40300252635,TQQQ,bull_trend,7120.4075141211215,59929
2015-12-03,145203.77591731746,TQQQ,bull_trend,7120.4075141211215,59929
2015-12-04,154690.30338838298,TQQQ,bull_trend,7120.4075141211215,59929
2015-12-07,152885.56248500544,TQQQ,bull_trend,7120.4075141211215,59929
2015-12-08,152897.53598573405,TQQQ,bull_trend,7120.4075141211215,59929
2015-12-09,146106.1320808192,TQQQ,bull_trend,7120.4075141211215,59929
2015-12-10,148077.0017347594,TQQQ,bull_trend,7120.4075141211215,59929
2015-12-11,138412.40058877665,TQQQ,bull_trend,7120.4075141211215,59929
2015-12-14,138916.3269570836,TECS,bear_relative_inverse,138916.3269570836,0
2015-12-15,138916.3269570836,TECS,bear_relative_inverse,138916.3269570836,0
2015-12-16,138916.3269570836,TECS,bear_relative_inverse,138916.3269570836,0
2015-12-17,131694.63663549034,TQQQ,bull_trend,6946.323989339755,54725
2015-12-18,130288.52250838425,TECS,bear_relative_inverse,130288.52250838425,0
2015-12-21,130288.52250838425,TECS,bear_relative_inverse,130288.52250838425,0
2015-12-22,130288.52250838425,TECS,bear_relative_inverse,130288.52250838425,0
2015-12-23,130288.52250838425,TECS,bear_relative_inverse,130288.52250838425,0
2015-12-24,130078.10998711173,TQQQ,bull_trend,6516.034306855843,53553
2015-12-28,130046.2920559365,TQQQ,bull_trend,6516.034306855843,53553
2015-12-29,135680.09599074905,TQQQ,bull_trend,6516.034306855843,53553
2015-12-30,132380.4156506974,TQQQ,bull_trend,6516.034306855843,53553
2015-12-31,127712.10462102477,TQQQ,bull_trend,6516.034306855843,53553
2016-01-04,119581.51631760938,TECS,bear_relative_inverse,119581.51631760938,0
2016-01-05,119581.51631760938,TECS,bear_relative_inverse,119581.51631760938,0
2016-01-06,119581.51631760938,TECS,bear_relative_inverse,119581.51631760938,0
2016-01-07,119581.51631760938,TECS,bear_relative_inverse,119581.51631760938,0
2016-01-08,113310.99993162508,TECL,bear_tqqq_oversold,5979.374154380508,39762
2016-01-11,115334.07923393602,TECL,bear_tqqq_oversold,5979.374154380508,39762
2016-01-12,118946.72693949098,TECL,bear_tqqq_oversold,5979.374154380508,39762
2016-01-13,121273.24900857144,BSV,bear_relative_bond,6098.161187585385,1834
2016-01-14,126388.92008012412,TECL,bear_tqqq_oversold,6050.582200943216,43440
2016-01-15,120365.20414397628,BSV,bear_relative_bond,6046.3584455128,1819
2016-01-19,116896.63975786328,TECL,bear_tqqq_oversold,6010.908092728845,43681
2016-01-20,114356.69143532871,TECL,bear_tqqq_oversold,6010.908092728845,43681
2016-01-21,116182.2874283707,TECL,bear_tqqq_oversold,6010.908092728845,43681
2016-01-22,125032.53718899845,TECL,bear_tqqq_oversold,6010.908092728845,43681
2016-01-25,124299.55419254578,BSV,bear_relative_bond,6279.960405229416,1880
2016-01-26,124432.47822442203,BSV,bear_relative_bond,6279.960405229416,1880
2016-01-27,124447.1652073724,BSV,bear_relative_bond,6279.960405229416,1880
2016-01-28,124535.78362728123,BSV,bear_relative_bond,6279.960405229416,1880
2016-01-29,124668.59971954735,BSV,bear_relative_bond,6279.960405229416,1880
2016-02-01,124571.0870757646,BSV,bear_relative_bond,6279.960405229416,1880
2016-02-02,120137.4038982708,TECL,bear_trend_long,6235.57054832764,41279
2016-02-03,121467.26225970492,BSV,bear_relative_bond,6117.615481109489,1828
2016-02-04,121539.19076619585,BSV,bear_relative_bond,6117.615481109489,1828
2016-02-05,121481.66895181239,BSV,bear_relative_bond,6117.615481109489,1828
2016-02-08,121654.13643785278,BSV,bear_relative_bond,6117.615481109489,1828
2016-02-09,124549.45559139001,TECL,bear_tqqq_oversold,6086.6682824586605,49803
2016-02-10,125409.20157499063,TECL,bear_tqqq_oversold,6086.6682824586605,49803
2016-02-11,124277.98123259294,TECL,bear_tqqq_oversold,6086.6682824586605,49803
2016-02-12,129164.87590975511,TECL,bear_tqqq_oversold,6086.6682824586605,49803
2016-02-16,133700.4355379152,BSV,bear_relative_bond,6692.562561574756,2012
2016-02-17,133637.2470011745,BSV,bear_relative_bond,6692.562561574756,2012
2016-02-18,129254.6718291677,TECL,bear_trend_long,6674.96401685843,44897
2016-02-19,129662.60119551787,TECL,bear_trend_long,6674.96401685843,44897
2016-02-22,134394.4598163999,TECL,bear_trend_long,6674.96401685843,44897
2016-02-23,128438.8238007463,TECL,bear_trend_long,6674.96401685843,44897
2016-02-24,131335.05914658675,TECL,bear_trend_long,6674.96401685843,44897
2016-02-25,135903.75244349608,TECL,bear_trend_long,6674.96401685843,44897
2016-02-26,134843.15107697615,TECL,bear_trend_long,6674.96401685843,44897
2016-02-29,132518.03183001647,TECL,bear_trend_long,6674.96401685843,44897
2016-03-01,143123.92774814734,TECL,bear_trend_long,6674.96401685843,44897
2016-03-02,142036.41135940672,TECS,bear_trend_inverse,142036.41135940672,0
2016-03-03,142036.41135940672,TECS,bear_trend_inverse,142036.41135940672,0
2016-03-04,142807.9078785386,TECL,bear_trend_long,7101.932454487309,43969
2016-03-07,140530.795344254,TECL,bear_trend_long,7101.932454487309,43969
2016-03-08,138093.93196906708,TECL,bear_trend_long,7101.932454487309,43969
2016-03-09,141209.9172502961,TECL,bear_trend_long,7101.932454487309,43969
2016-03-10,141090.08577432297,TECL,bear_trend_long,7101.932454487309,43969
2016-03-11,147202.22486080788,TECL,bear_trend_long,7101.932454487309,43969
2016-03-14,148292.57112149903,TQQQ,bull_trend,7306.713030263869,74971
2016-03-15,148203.48471669861,TQQQ,bull_trend,7306.713030263869,74971
2016-03-16,151797.9710047693,TQQQ,bull_trend,7306.713030263869,74971
2016-03-17,151382.02293436238,TQQQ,bull_trend,7306.713030263869,74971
2016-03-18,152213.8028910608,TQQQ,bull_trend,7306.713030263869,74971
2016-03-21,153936.84013430783,TQQQ,bull_trend,7306.713030263869,74971
2016-03-22,155243.85780923077,TQQQ,bull_trend,7306.713030263869,74971
2016-03-23,151723.67573158452,TQQQ,bull_trend,7306.713030263869,74971
2016-03-24,151679.10571746537,TQQQ,bull_trend,7306.713030263869,74971
2016-03-28,151159.23542444417,TQQQ,bull_trend,7306.713030263869,74971
2016-03-29,158036.26258794972,TQQQ,bull_trend,7306.713030263869,74971
2016-03-30,160293.88082067677,TQQQ,bull_trend,7306.713030263869,74971
2016-03-31,159402.65928308674,TQQQ,bull_trend,7306.713030263869,74971
2016-04-01,164467.64323370167,TQQQ,bull_trend,7306.713030263869,74971
2016-04-04,162521.88104121396,TQQQ,bull_trend,7306.713030263869,74971
2016-04-05,158348.19012610623,TQQQ,bull_trend,7306.713030263869,74971
2016-04-06,165581.59865777203,TQQQ,bull_trend,7306.713030263869,74971
2016-04-07,158749.20406906315,TQQQ,bull_trend,7306.713030263869,74971
2016-04-08,158392.75120298573,TQQQ,bull_trend,7306.713030263869,74971
2016-04-11,156773.65405683228,TQQQ,bull_trend,7306.713030263869,74971
2016-04-12,160264.2628084869,TQQQ,bull_trend,7306.713030263869,74971
2016-04-13,166235.19686762997,TQQQ,bull_trend,7306.713030263869,74971
2016-04-14,166339.11909024426,TQQQ,bull_trend,7306.713030263869,74971
2016-04-15,165121.22356908032,TQQQ,bull_trend,7306.713030263869,74971
2016-04-18,167453.07451431462,TQQQ,bull_trend,7306.713030263869,74971
