date,from_symbol,to_symbol,fee
2018-02-26,XLU,QQQ,0.0
2018-02-27,QQQ,XLU,0.0
2018-03-08,XLU,QQQ,0.0
2018-03-21,QQQ,XLU,0.0
2018-03-23,XLU,TQQQ,0.0
2018-03-26,TQQQ,XLU,0.0
2018-04-16,XLU,QQQ,0.0
2018-04-20,QQQ,XLU,0.0
2018-04-23,XLU,QQQ,0.0
2018-04-24,QQQ,XLU,0.0
2018-04-26,XLU,QQQ,0.0
2018-04-30,QQQ,XLU,0.0
2018-05-01,XLU,QQQ,0.0
2018-05-02,QQQ,XLU,0.0
2018-05-04,XLU,QQQ,0.0
2018-06-06,QQQ,UVXY,0.0
2018-06-07,UVXY,QQQ,0.0
2018-06-25,QQQ,XLU,0.0
2018-07-06,XLU,QQQ,0.0
2018-10-05,QQQ,XLU,0.0
2018-10-08,XLU,TQQQ,0.0
2018-10-09,TQQQ,XLU,0.0
2018-10-10,XLU,TQQQ,0.0
2018-10-12,TQQQ,XLU,0.0
2018-10-23,XLU,GLD,0.0
2018-10-24,GLD,TQQQ,0.0
2018-10-25,TQQQ,GLD,0.0
2018-11-06,GLD,XLU,0.0
2018-11-07,XLU,QQQ,0.0
2018-11-12,QQQ,GLD,0.0
2018-11-28,GLD,QQQ,0.0
2018-12-04,QQQ,GLD,0.0
2018-12-20,GLD,TQQQ,0.0
2018-12-26,TQQQ,GLD,0.0
2019-01-09,GLD,QQQ,0.0
2019-03-21,QQQ,UVXY,0.0
2019-03-22,UVXY,QQQ,0.0
2019-04-22,QQQ,UVXY,0.0
2019-04-30,UVXY,QQQ,0.0
2019-05-07,QQQ,XLU,0.0
2019-05-13,XLU,TQQQ,0.0
2019-05-14,TQQQ,XLU,0.0
2019-05-29,XLU,TQQQ,0.0
2019-05-30,TQQQ,XLU,0.0
2019-05-31,XLU,TQQQ,0.0
2019-06-04,TQQQ,XLU,0.0
2019-06-07,XLU,QQQ,0.0
2019-08-01,QQQ,XLU,0.0
2019-08-05,XLU,TQQQ,0.0
2019-08-06,TQQQ,XLU,0.0
2019-08-29,XLU,QQQ,0.0
2019-09-03,QQQ,XLU,0.0
2019-09-04,XLU,QQQ,0.0
2019-10-01,QQQ,XLU,0.0
2019-10-11,XLU,QQQ,0.0
2019-12-19,QQQ,UVXY,0.0
2019-12-30,UVXY,QQQ,0.0
