date,equity,holding,branch,cash,shares
2021-05-24,29158.866350368284,TQQQ,bull_trend,1556.0783865010962,1144
2021-05-25,29292.40953274133,TQQQ,bull_trend,1556.0783865010962,1144
2021-05-26,29573.126894191526,TQQQ,bull_trend,1556.0783865010962,1144
2021-05-27,29246.07898159387,TQQQ,bull_trend,1556.0783865010962,1144
2021-05-28,29515.888490871213,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-01,29243.351473048948,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-02,29387.802507594846,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-03,28512.94650478723,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-04,29894.726335719846,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-07,30145.460741237424,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-08,30178.16684170129,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-09,30210.870760158323,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-10,31088.447725490354,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-11,31322.830171779417,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-14,32156.801912502073,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-15,31589.91653652551,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-16,31268.321459010862,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-17,32377.55554409387,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-18,31641.69992275598,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-21,32192.228975490354,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-22,33048.0033285177,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-23,33102.50767727258,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-24,33683.02186794641,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-25,33582.18260403039,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-28,34715.94680996301,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-29,35089.32309170129,TQQQ,bull_trend,1556.0783865010962,1144
2021-06-30,34942.14673061731,TQQQ,bull_trend,1556.0783865010962,1144
2021-07-01,34958.50523586633,TQQQ,bull_trend,1556.0783865010962,1144
2021-07-02,36092.26725979211,TQQQ,bull_trend,1556.0783865010962,1144
2021-07-06,36555.58586330774,TQQQ,bull_trend,1556.0783865010962,1144
2021-07-07,37846.36869202067,UVXY,bull_overbought,2646.3686920206674,5
2021-07-08,41258.86869202067,UVXY,bull_overbought,2646.3686920206674,5
2021-07-09,40323.62210718354,TQQQ,bull_trend,1986.8395144101014,1246
2021-07-12,40804.515917455756,TQQQ,bull_trend,1986.8395144101014,1246
2021-07-13,40783.7329317685,TQQQ,bull_trend,1986.8395144101014,1246
2021-07-14,40994.478823339545,TQQQ,bull_trend,1986.8395144101014,1246
2021-07-15,40187.08418909272,TQQQ,bull_trend,1986.8395144101014,1246
2021-07-16,39249.06688562592,TQQQ,bull_trend,1986.8395144101014,1246
2021-07-19,38355.57911936005,TQQQ,bull_trend,1986.8395144101014,1246
2021-07-20,39554.80611292084,TQQQ,bull_trend,1986.8395144101014,1246
