date,QQQ,TQQQ,TECL,IEF,GLD,SHY
2018-04-03,157.25999999999996,5.650000000000013,10.950000000000033,102.79000000000005,126.29999999999973,83.44999999999996
2018-04-04,159.74,5.920000000000013,11.400000000000036,102.73000000000003,126.44999999999975,83.39999999999995
2018-04-05,160.64999999999998,6.010000000000013,11.550000000000034,102.47000000000004,125.79999999999976,83.41999999999994
2018-04-06,156.62999999999997,5.560000000000012,10.700000000000031,102.92000000000004,126.38999999999979,83.48999999999994
2018-04-09,157.72999999999996,5.670000000000012,10.93000000000003,102.94000000000004,126.81999999999978,83.47999999999995
2018-04-10,161.20999999999998,6.050000000000012,11.720000000000033,102.76000000000005,127.1199999999998,83.43999999999994
2018-04-11,160.27999999999997,5.950000000000013,11.530000000000031,102.86000000000006,128.10999999999981,83.43999999999994
2018-04-12,162.20999999999998,6.150000000000014,11.940000000000031,102.49000000000005,126.6199999999998,83.38999999999994
2018-04-13,161.36999999999998,6.060000000000012,11.81000000000003,102.58000000000006,127.4499999999998,83.36999999999995
2018-04-16,162.6,6.2000000000000135,12.090000000000032,102.53000000000006,127.62999999999978,83.35999999999994
2018-04-17,166.1,6.590000000000013,12.760000000000032,102.59000000000006,127.74999999999979,83.35999999999994
2018-04-18,166.43999999999997,6.640000000000013,12.670000000000032,102.19000000000005,127.84999999999978,83.28999999999996
2018-04-19,164.90999999999997,6.460000000000012,12.240000000000032,101.91000000000005,127.59999999999978,83.28999999999996
2018-04-20,162.3,6.150000000000012,11.69000000000003,101.57000000000005,126.6299999999998,83.25999999999996
2018-04-23,161.89,6.100000000000011,11.59000000000003,101.47000000000006,125.6199999999998,83.24999999999997
2018-04-24,158.46,5.710000000000011,10.990000000000027,101.35000000000004,126.22999999999979,83.26999999999997
2018-04-25,158.65,5.730000000000012,10.990000000000027,101.13000000000004,125.40999999999978,83.25999999999996
2018-04-26,161.99000000000004,6.090000000000011,11.59000000000003,101.42000000000006,124.96999999999979,83.27999999999996
2018-04-27,162.09,6.100000000000011,11.500000000000028,101.59000000000006,125.4999999999998,83.29999999999995
2018-04-30,160.94000000000003,5.970000000000011,11.280000000000028,101.70000000000006,124.5899999999998,83.26999999999995
2018-05-01,162.78000000000003,6.1700000000000115,11.710000000000031,101.35000000000007,123.70999999999981,83.12999999999995
2018-05-02,161.82000000000002,6.06000000000001,11.66000000000003,101.37000000000006,123.6499999999998,83.15999999999995
2018-05-03,161.80000000000007,6.06000000000001,11.760000000000032,101.63000000000005,124.27999999999982,83.21999999999996
2018-05-04,164.87000000000006,6.400000000000012,12.430000000000032,101.64000000000007,124.53999999999982,83.18999999999996
2018-05-07,166.24000000000004,6.550000000000012,12.690000000000033,101.59000000000006,124.56999999999981,83.18999999999996
2018-05-08,166.07000000000002,6.530000000000013,12.740000000000036,101.42000000000007,124.58999999999983,83.19999999999996
2018-05-09,167.88000000000002,6.750000000000012,13.210000000000036,101.19000000000007,124.32999999999983,83.15999999999995
2018-05-10,169.62,6.960000000000012,13.73000000000004,101.40000000000008,125.17999999999985,83.15999999999995
2018-05-11,169.46000000000004,6.940000000000014,13.670000000000039,101.41000000000005,124.99999999999986,83.15999999999995
2018-05-14,169.75,6.970000000000013,13.660000000000041,101.19000000000005,124.48999999999984,83.15999999999995
2018-05-15,167.87000000000003,6.750000000000013,13.270000000000039,100.63000000000005,122.47999999999986,83.10999999999996
2018-05-16,168.98,6.870000000000014,13.450000000000038,100.42000000000006,122.28999999999985,83.10999999999996
2018-05-17,168.33,6.790000000000014,13.250000000000039,100.36000000000006,122.35999999999986,83.12999999999994
