date,equity,holding,branch,cash,shares
2026-03-26,21910.510507701158,TECS,bear_relative_inverse,1184.9173070175639,99
2026-03-27,23137.747354624986,TECS,bear_relative_inverse,1184.9173070175639,99
2026-03-30,20683.60608662893,TECL,bear_tqqq_oversold,1142.1474608354729,255
2026-03-31,23193.168960469262,TECL,bear_tqqq_oversold,1142.1474608354729,255
2026-04-01,23371.028442151164,TECS,bear_relative_inverse,1283.4252317019454,113
2026-04-02,24794.78734561464,BSV,bear_relative_bond,1262.6911694671799,306
2026-04-06,24764.703757968156,BSV,bear_relative_bond,1262.6911694671799,306
2026-04-07,24791.7780530121,BSV,bear_relative_bond,1262.6911694671799,306
2026-04-08,24812.838432040422,BSV,bear_relative_bond,1262.6911694671799,306
2026-04-09,25252.78430985612,TQQQ,bull_trend,1268.6469006459156,491
2026-04-10,25355.655987254802,TQQQ,bull_trend,1268.6469006459156,491
2026-04-13,26085.566715709392,TQQQ,bull_trend,1268.6469006459156,491
2026-04-14,27432.7150006215,TQQQ,bull_trend,1268.6469006459156,491
2026-04-15,28530.029125682537,TQQQ,bull_trend,1268.6469006459156,491
2026-04-16,28912.13008164567,TQQQ,bull_trend,1268.6469006459156,491
2026-04-17,29970.25321244401,TQQQ,bull_trend,1268.6469006459156,491
2026-04-20,29863.319952906175,UVXY,bull_overbought,1500.520510614915,731
2026-04-21,29262.35645758889,TQQQ,bull_trend,1544.5753906943573,484
2026-04-22,30619.27131354592,TQQQ,bull_trend,1544.5753906943573,484
2026-04-23,30141.212750313498,TQQQ,bull_trend,1544.5753906943573,484
2026-04-24,31754.05988776467,TQQQ,bull_trend,1544.5753906943573,484
2026-04-27,31792.690304634787,TQQQ,bull_trend,1544.5753906943573,484
2026-04-28,30875.20359504006,TQQQ,bull_trend,1544.5753906943573,484
2026-04-29,31416.038662789084,TQQQ,bull_trend,1544.5753906943573,484
2026-04-30,32227.29034125588,TQQQ,bull_trend,1544.5753906943573,484
2026-05-01,33077.17612921975,TQQQ,bull_trend,1544.5753906943573,484
2026-05-04,32888.84846198342,TQQQ,bull_trend,1544.5753906943573,484
2026-05-05,34086.40800177834,TQQQ,bull_trend,1544.5753906943573,484
2026-05-06,36104.88282477639,TQQQ,bull_trend,1544.5753906943573,484
2026-05-07,36186.42873740025,UVXY,bull_overbought,1815.8685910684653,959
2026-05-08,36435.767127750594,UVXY,bull_overbought,1815.8685910684653,959
2026-05-11,37279.688152073104,UVXY,bull_overbought,1815.8685910684653,959
2026-05-12,36090.53020071812,UVXY,bull_overbought,1815.8685910684653,959
2026-05-13,36857.31546985247,TQQQ,bull_trend,1870.909296146412,454
2026-05-14,36034.35928093586,UVXY,bull_overbought,1844.4089864412308,965
2026-05-15,36352.80736672077,UVXY,bull_overbought,1844.4089864412308,965
2026-05-18,34706.70343436171,TQQQ,bull_trend,1784.4245647328062,444
2026-05-19,34090.95965994765,TQQQ,bull_trend,1784.4245647328062,444
2026-05-20,35676.82880057265,TQQQ,bull_trend,1784.4245647328062,444
2026-05-21,35871.739353551166,TQQQ,bull_trend,1784.4245647328062,444
2026-05-22,36265.99124564101,TQQQ,bull_trend,1784.4245647328062,444
2026-05-26,38086.63785208632,TQQQ,bull_trend,1784.4245647328062,444
2026-05-27,37962.60632742812,TQQQ,bull_trend,1784.4245647328062,444
2026-05-28,38852.99448050429,TQQQ,bull_trend,1784.4245647328062,444
2026-05-29,39242.818973912494,TQQQ,bull_trend,1784.4245647328062,444
2026-06-01,39898.42966116835,TQQQ,bull_trend,1784.4245647328062,444
2026-06-02,40421.147251500384,TQQQ,bull_trend,1784.4245647328062,444
2026-06-03,40166.70366505126,UVXY,bull_overbought,2042.8237650726223,1311
2026-06-04,41300.24022512933,TQQQ,bull_trend,2104.0662367870464,461
2026-06-05,35702.757910065855,TQQQ,bull_trend,2104.0662367870464,461
2026-06-08,37183.76683645746,TQQQ,bull_trend,2104.0662367870464,461
2026-06-09,36010.916601472105,TQQQ,bull_trend,2104.0662367870464,461
2026-06-10,33964.17747335931,TQQQ,bull_trend,2104.0662367870464,461
2026-06-11,37064.183706574644,TQQQ,bull_trend,2104.0662367870464,461
2026-06-12,37758.69087057611,TQQQ,bull_trend,2104.0662367870464,461
