date,action,asset,price,shares,pnl,reason
2017-08-14,BUY,QLD,7.671525498046816,20273.065485534153,,"QLD entry: Confirmed Up, RT <= 1.40"
2017-08-18,SELL,QLD,7.474439996444179,20273.065485534153,-3995.527280239592,QLD Confirmed-Down proxy exit
2017-08-23,BUY,QLD,7.58529966876911,19976.773249908758,,"QLD entry: Confirmed Up, RT <= 1.40"
2017-09-26,SELL,QLD,7.706013721012373,19976.773249908758,2411.4772497413214,QLD Confirmed-Down proxy exit
2017-09-28,BUY,QLD,7.772530010978199,19805.814650817385,,"QLD entry: Confirmed Up, RT <= 1.40"
2018-01-18,SELL,QLD,10.185588572250648,19805.814650817385,47792.590606130165,QLD 30% profit exit
2018-02-07,BUY,QLD,9.684253085974916,20831.124257134325,,"QLD entry: Confirmed Up, RT <= 1.40"
2018-02-08,SELL,QLD,9.536437295149776,20831.124257134325,-3079.169105845067,QLD Confirmed-Down proxy exit
2018-02-15,BUY,QLD,9.924449428109664,20016.698327160826,,"QLD entry: Confirmed Up, RT <= 1.40"
2018-03-23,SELL,QLD,9.718743401214626,20016.698327160826,-4117.555484436802,QLD Confirmed-Down proxy exit
2018-04-12,BUY,QQQ,152.91808878054334,1272.1657479016976,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2018-04-18,SELL,QQQ,157.51744589436908,1272.1657479016976,5851.144582577108,"QLD entry: Confirmed Up, RT <= 1.40"
2018-04-18,BUY,QLD,10.058714306729563,19921.86011583109,,"QLD entry: Confirmed Up, RT <= 1.40"
2018-04-23,SELL,QLD,9.680556393882272,19921.86011583109,-7533.60904143838,QLD Confirmed-Down proxy exit
2018-05-02,BUY,QLD,9.662082076993645,19959.951570018493,,"QLD entry: Confirmed Up, RT <= 1.40"
2018-05-03,SELL,QLD,9.421885828222583,19959.951570018493,-4794.305492770509,QLD Confirmed-Down proxy exit
2018-05-07,BUY,QLD,9.961403043072846,18878.905312474373,,"QLD entry: Confirmed Up, RT <= 1.40"
2018-06-28,SELL,QLD,10.40238123005818,18878.905312474373,8325.185436962784,QLD Confirmed-Down proxy exit
2018-06-29,BUY,QLD,10.717714493400216,18323.45603043074,,"QLD entry: Confirmed Up, RT <= 1.40"
2018-10-08,SELL,QLD,11.53685097047102,18323.45603043074,15009.411220528826,QLD Confirmed-Down proxy exit
2018-10-25,BUY,QQQ,159.86191966261035,1322.3598336189661,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2018-11-08,SELL,QQQ,166.3835704991917,1322.3598336189661,8623.9691151827,"QLD entry: Confirmed Up, RT <= 1.40"
2018-11-08,BUY,QLD,10.802705402741728,20367.023111303195,,"QLD entry: Confirmed Up, RT <= 1.40"
2018-11-09,SELL,QLD,10.557586048268945,20367.023111303195,-4992.351557574875,QLD Confirmed-Down proxy exit
2018-12-04,BUY,QLD,10.307532288100063,20861.113313504895,,"QLD entry: Confirmed Up, RT <= 1.40"
2018-12-06,SELL,QLD,9.23835002488223,20861.113313504895,-22304.332345776842,QLD 5% loss exit
2019-01-08,BUY,QQQ,152.32767912162282,1265.1821901981052,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2019-01-16,SELL,QQQ,155.29709216888463,1265.1821901981052,3756.848502737528,"QLD entry: Confirmed Up, RT <= 1.40"
2019-01-16,BUY,QLD,9.158382306933689,21453.47383597153,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-01-30,SELL,QLD,9.2175487347605,21453.47383597153,1269.325411350408,QLD Confirmed-Down proxy exit
2019-01-31,BUY,QLD,9.579940008151434,20641.928910276638,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-04-30,SELL,QLD,12.288035262058521,20641.928910276638,55900.30971340765,QLD 30% profit exit
2019-05-16,BUY,QLD,11.427059881812893,22197.201463001642,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-05-21,SELL,QLD,11.212432516129683,22197.201463001642,-4764.12687554353,QLD Confirmed-Down proxy exit
2019-06-10,BUY,QLD,11.251904599282144,22119.332887582383,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-08-05,SELL,QLD,11.365227903184238,22119.332887582383,2506.635882931063,QLD Confirmed-Down proxy exit
2019-08-09,BUY,QLD,11.823046428710228,21262.815878258905,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-08-12,SELL,QLD,11.568840080890826,21262.815878258905,-5405.142768768594,QLD Confirmed-Down proxy exit
2019-08-14,BUY,QLD,11.55279784313923,21292.341466105143,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-08-15,SELL,QLD,11.265274146474178,21292.341466105143,-6122.052728989103,QLD Confirmed-Down proxy exit
2019-08-20,BUY,QLD,11.871170298340772,20205.595388479942,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-08-21,SELL,QLD,11.95385213728988,20205.595388479942,1670.635783781152,QLD Confirmed-Down proxy exit
2019-08-22,BUY,QLD,11.992105827633539,20141.141438497358,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-08-26,SELL,QLD,11.368931415728694,20141.141438497358,-12551.443971027882,QLD 5% loss exit
2019-08-30,BUY,QLD,11.952616973623329,19157.583327072298,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-09-04,SELL,QLD,11.761346183142024,19157.583327072298,-3664.286106680578,QLD Confirmed-Down proxy exit
2019-09-05,BUY,QLD,12.130314385092731,18574.866437013996,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-09-25,SELL,QLD,11.819344269672383,18574.866437013996,-5776.228359835804,QLD Confirmed-Down proxy exit
2019-09-26,BUY,QLD,12.085892500370692,18165.207176509102,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-09-30,SELL,QLD,11.804535950123492,18165.207176509102,-5110.900025708252,QLD Confirmed-Down proxy exit
2019-10-01,BUY,QLD,12.024189512502812,17833.37171570489,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-10-02,SELL,QLD,11.589819700575665,17833.37171570489,-7746.278318177618,QLD Confirmed-Down proxy exit
2019-10-07,BUY,QLD,11.855129909998158,17434.272286131152,,"QLD entry: Confirmed Up, RT <= 1.40"
2019-10-08,SELL,QLD,11.699642861274617,17434.272286131152,-2710.803544413153,QLD Confirmed-Down proxy exit
2019-10-11,BUY,QLD,12.167335611394726,16764.126987910942,,"QLD entry: Confirmed Up, RT <= 1.40"
2020-01-10,SELL,QLD,16.07097015397308,16764.126987910942,65441.02518617912,QLD 30% profit exit
2020-03-16,BUY,QQQ,167.64747559955362,1607.0375263130338,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2020-04-09,SELL,QQQ,195.20959807599692,1607.0375263130338,44293.36512448033,"QLD entry: Confirmed Up, RT <= 1.40"
2020-04-09,BUY,QLD,12.382318815817058,25335.250551284673,,"QLD entry: Confirmed Up, RT <= 1.40"
2020-06-01,SELL,QLD,16.154175907976143,25335.250551284673,95560.94447349047,QLD 30% profit exit
2020-09-10,BUY,QLD,23.15217945381358,17677.389504282197,,"QLD entry: Confirmed Up, RT <= 1.40"
2020-09-11,SELL,QLD,22.07063072736606,17677.389504282197,-19118.958105273196,QLD 5% loss exit
2020-09-15,BUY,QLD,22.78919589844826,17120.004484203622,,"QLD entry: Confirmed Up, RT <= 1.40"
2020-09-18,SELL,QLD,21.594051698719806,17120.004484203622,-20460.874058621062,QLD 5% loss exit
2020-09-23,BUY,QLD,21.734800969082386,17009.139510414192,,"QLD entry: Confirmed Up, RT <= 1.40"
2020-09-24,SELL,QLD,20.045798549259185,17009.139510414192,-28728.477792199992,QLD 5% loss exit
2020-09-28,BUY,QLD,22.396574607833994,15223.836238008667,,"QLD entry: Confirmed Up, RT <= 1.40"
2020-10-29,SELL,QLD,21.67801176103592,15223.836238008667,-10939.283106371178,QLD Confirmed-Down proxy exit
2020-11-05,BUY,QLD,24.939956377612823,13232.681566030287,,"QLD entry: Confirmed Up, RT <= 1.40"
2020-11-11,SELL,QLD,23.623819095171978,13232.681566030287,-17416.025555720204,QLD 5% loss exit
2021-03-02,BUY,QLD,30.071169998841864,10395.55412948535,,"QLD entry: Confirmed Up, RT <= 1.40"
2021-03-03,SELL,QLD,28.784666187091393,10395.55412948535,-13373.920012841234,QLD Confirmed-Down proxy exit
2021-03-12,BUY,QLD,28.021645381504943,10678.621878663022,,"QLD entry: Confirmed Up, RT <= 1.40"
2021-03-15,SELL,QLD,28.372288480881444,10678.621878663022,3744.385072604113,QLD Confirmed-Down proxy exit
2021-03-16,BUY,QLD,29.325441500718348,10331.538930530944,,"QLD entry: Confirmed Up, RT <= 1.40"
