date,equity
2018-09-28,227239.4537230918
2018-10-01,227984.2215758912
2018-10-02,226923.4254120201
2018-10-03,227577.97185646652
2018-10-04,218752.8921914196
2018-10-05,213516.5730596765
2018-10-08,211394.98148705796
2018-10-09,211394.98148705796
2018-10-10,211394.98148705796
2018-10-11,211394.98148705796
2018-10-12,211394.98148705796
2018-10-15,211394.98148705796
2018-10-16,211394.98148705796
2018-10-17,211394.98148705796
2018-10-18,211394.98148705796
2018-10-19,211394.98148705796
2018-10-22,211394.98148705796
2018-10-23,211394.98148705796
2018-10-24,211394.98148705796
2018-10-25,215360.75414448493
2018-10-26,209821.35458022892
2018-10-29,205502.9627157377
2018-10-30,208889.59291645852
2018-10-31,213799.67300972543
2018-11-01,216619.7764610487
2018-11-02,213245.69673360226
2018-11-05,212716.96264729623
2018-11-06,214328.4878064705
2018-11-07,221051.3647163267
2018-11-08,219216.14559085836
2018-11-09,215026.59904466578
2018-11-12,215026.59904466578
2018-11-13,215026.59904466578
2018-11-14,215026.59904466578
2018-11-15,215026.59904466578
2018-11-16,215026.59904466578
2018-11-19,215026.59904466578
2018-11-20,215026.59904466578
2018-11-21,215026.59904466578
2018-11-23,215026.59904466578
2018-11-26,215026.59904466578
2018-11-27,215026.59904466578
2018-11-28,215026.59904466578
2018-11-29,215026.59904466578
2018-11-30,215026.59904466578
2018-12-03,215026.59904466578
2018-12-04,200636.6776518106
2018-12-06,192722.26669888894
2018-12-07,192722.26669888894
2018-12-10,192722.26669888894
2018-12-11,192722.26669888894
2018-12-12,192722.26669888894
2018-12-13,192722.26669888894
2018-12-14,192722.26669888894
2018-12-17,192722.26669888894
2018-12-18,192722.26669888894
2018-12-19,192722.26669888894
2018-12-20,192722.26669888894
2018-12-21,192722.26669888894
2018-12-24,192722.26669888894
2018-12-26,192722.26669888894
2018-12-27,192722.26669888894
2018-12-28,192722.26669888894
2018-12-31,192722.26669888894
2019-01-02,192722.26669888894
2019-01-03,192722.26669888894
2019-01-04,192722.26669888894
2019-01-07,192722.26669888894
2019-01-08,192698.12022661843
2019-01-09,194268.47819902253
2019-01-10,194824.17688897694
2019-01-11,194111.45012384138
2019-01-14,192396.11048871165
2019-01-15,196152.98884752975
2019-01-16,195870.89374526613
2019-01-17,198647.55156327365
2019-01-18,202508.42639463034
2019-01-22,194786.77903005193
2019-01-23,195024.78587088545
2019-01-24,197378.21584487316
2019-01-25,202349.70060840267
2019-01-28,197166.64284211726
2019-01-29,193305.84984926853
2019-01-30,197748.44061297688
2019-01-31,201437.76936882982
2019-02-01,199580.4060164228
2019-02-04,204491.05731156524
2019-02-05,208180.33043544565
2019-02-06,206806.42763535673
2019-02-07,201234.21946407112
2019-02-08,201870.32275928077
2019-02-11,201615.8853783324
2019-02-12,207646.0414639702
2019-02-13,207773.28968296057
2019-02-14,208129.5020162883
2019-02-15,210088.67969242952
2019-02-19,210775.5917211191
2019-02-20,210750.19719721787
2019-02-21,209020.00332109147
2019-02-22,212200.46074010746
2019-02-25,213727.1243971526
2019-02-26,214108.77062573645
2019-02-27,213752.5582924087
2019-02-28,212760.30172090366
2019-03-01,215864.33934008665
2019-03-04,215762.60375906219
2019-03-05,216067.9089305228
