date,action,asset,price,shares,pnl,reason
2018-11-12,SELL,TQQQ,6.240726462923926,12072.567494754816,-6156.494020984275,TQQQ 5% loss exit
2019-01-08,BUY,TQQQ,4.8433947703110904,15555.533879207705,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2019-04-08,SELL,TQQQ,7.2730275188582025,15555.533879207705,37794.234534057134,TQQQ 50% profit exit
2019-06-14,BUY,TQQQ,6.843171358717392,16532.660084550866,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2019-08-12,SELL,TQQQ,7.058695240568735,16532.660084550866,3563.183078751157,TQQQ Confirmed-Down proxy exit
2019-08-20,BUY,TQQQ,7.312321780699697,15959.227801049157,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2019-08-26,SELL,TQQQ,6.845553143063975,15959.227801049157,-7449.267018413855,TQQQ 5% loss exit
2019-09-12,BUY,TQQQ,7.904117971462724,13821.87644830008,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2019-09-25,SELL,TQQQ,7.234923742336098,13821.87644830008,-9249.519954903648,TQQQ 5% loss exit
2019-10-14,BUY,TQQQ,7.531417512425096,13277.742458768904,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-01-14,SELL,TQQQ,11.504307104136542,13277.742458768904,52751.00481586813,TQQQ 50% profit exit
2020-03-16,BUY,QQQ,167.64747559955362,911.1454040630794,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2020-03-27,SELL,QQQ,180.33373263115413,911.1454040630794,11559.024789105752,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-03-27,BUY,TQQQ,5.4353023386408115,30230.195386979118,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-04-02,SELL,TQQQ,4.907615382981635,30230.195386979118,-15952.079772737081,TQQQ 5% loss exit
2020-05-06,BUY,TQQQ,8.28338707961735,17910.327078247872,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-07-07,SELL,TQQQ,13.168367801922267,17910.327078247872,87491.60250741662,TQQQ 50% profit exit
2020-08-07,BUY,TQQQ,15.559043732907629,15158.372099711354,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-08-12,SELL,TQQQ,14.42505289842761,15158.372099711354,-17189.45502671032,TQQQ 5% loss exit
2020-09-29,BUY,QQQ,267.322941207844,817.9631662154156,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2020-10-06,SELL,QQQ,270.0579033788415,817.9631662154156,2237.098316868505,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-10-06,BUY,TQQQ,15.769881968539236,14007.550478180003,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-10-27,SELL,TQQQ,15.993821507871099,14007.550478180003,3136.8444012514374,TQQQ Confirmed-Down proxy exit
2020-11-12,BUY,TQQQ,17.254082026480173,12984.420832512313,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-11-23,SELL,TQQQ,17.369618592724002,12984.420832512313,1500.1753976533073,TQQQ Confirmed-Down proxy exit
