date,equity
2019-03-06,186205.83063432618
2019-03-07,179418.21222915928
2019-03-08,178401.8499708097
2019-03-11,189545.2214593899
2019-03-12,192630.4272056501
2019-03-13,196804.64029084466
2019-03-14,195933.53911236735
2019-03-15,200797.35699976634
2019-03-18,202612.2044373057
2019-03-19,204644.91441335622
2019-03-20,207005.0507153891
2019-03-21,216590.9878692306
2019-03-22,202429.93740665517
2019-03-25,201159.113797178
2019-03-26,203918.68171723804
2019-03-27,199924.5691060473
2019-03-28,201195.40725617312
2019-03-29,205734.19802461466
2019-04-01,213831.40540852194
2019-04-02,216191.57079185208
2019-04-03,219931.51286488792
2019-04-04,219604.7117867969
2019-04-05,222908.95786410774
2019-04-08,221783.36889511335
2019-04-09,221783.36889511335
2019-04-10,221783.36889511335
2019-04-11,221783.36889511335
2019-04-12,221783.36889511335
2019-04-15,221783.36889511335
2019-04-16,221783.36889511335
2019-04-17,221783.36889511335
2019-04-18,221783.36889511335
2019-04-22,221783.36889511335
2019-04-23,221783.36889511335
2019-04-24,221783.36889511335
2019-04-25,221783.36889511335
2019-04-26,221783.36889511335
2019-04-29,221783.36889511335
2019-04-30,221783.36889511335
2019-05-01,221783.36889511335
2019-05-02,221783.36889511335
2019-05-03,221783.36889511335
2019-05-06,221783.36889511335
2019-05-07,221783.36889511335
2019-05-08,221783.36889511335
2019-05-09,221783.36889511335
2019-05-10,221783.36889511335
2019-05-13,221783.36889511335
2019-05-14,221783.36889511335
2019-05-15,221783.36889511335
2019-05-16,221783.36889511335
2019-05-17,221783.36889511335
2019-05-20,221783.36889511335
2019-05-21,221783.36889511335
2019-05-22,221783.36889511335
2019-05-23,221783.36889511335
2019-05-24,221783.36889511335
2019-05-28,221783.36889511335
2019-05-29,221783.36889511335
2019-05-30,221783.36889511335
2019-05-31,221783.36889511335
2019-06-03,221783.36889511335
2019-06-04,221783.36889511335
2019-06-05,221783.36889511335
2019-06-06,221783.36889511335
2019-06-07,221783.36889511335
2019-06-10,221783.36889511335
2019-06-11,221783.36889511335
2019-06-12,221783.36889511335
2019-06-13,221783.36889511335
2019-06-14,222400.8267762344
2019-06-17,226452.9188804451
2019-06-18,236255.06788588953
2019-06-19,239033.60912220052
2019-06-20,245594.12153393996
2019-06-21,244474.9872985932
2019-06-24,244397.79443634322
2019-06-25,231894.2816028113
2019-06-26,234827.1776555693
2019-06-27,237374.20212123627
2019-06-28,238377.5547902213
2019-07-01,247871.02507082466
2019-07-02,250881.0830777797
2019-07-03,256438.27372858705
2019-07-05,254778.75854943748
2019-07-08,249414.6195973742
2019-07-09,253157.95570661145
2019-07-10,260644.61247105943
2019-07-11,259949.95398094197
2019-07-12,264310.83298817906
2019-07-15,266549.13236692554
2019-07-16,262767.19209955004
2019-07-17,258869.47026581285
2019-07-18,259988.65086323905
2019-07-19,253698.2593802819
2019-07-22,259679.94123034502
2019-07-23,264696.7509373495
2019-07-24,270331.072634301
2019-07-25,262612.8063750501
2019-07-26,270408.18822641857
2019-07-29,267899.7833729163
2019-07-30,264310.83298817906
2019-07-31,253157.95570661145
2019-08-01,249607.6094800124
2019-08-02,238184.626723689
2019-08-05,213177.55469454572
2019-08-06,221937.7314188404
2019-08-07,225179.36801254543
2019-08-08,240075.58140335025
2019-08-09,232974.79622599334
2019-08-12,228768.34635782908
2019-08-13,228768.34635782908
2019-08-14,228768.34635782908
2019-08-15,228768.34635782908
2019-08-16,228768.34635782908
2019-08-19,228768.34635782908
2019-08-20,225229.34449955937
2019-08-21,230966.2413300717
2019-08-22,228731.09195176905
2019-08-23,207795.0928243847
2019-08-26,214165.31054796072
2019-08-27,214165.31054796072
2019-08-28,214165.31054796072
2019-08-29,214165.31054796072
2019-08-30,214165.31054796072
2019-09-03,214165.31054796072
2019-09-04,214165.31054796072
2019-09-05,214165.31054796072
2019-09-06,214165.31054796072
2019-09-09,214165.31054796072
2019-09-10,214165.31054796072
2019-09-11,214165.31054796072
2019-09-12,212874.78899625252
2019-09-13,210616.33031589212
2019-09-16,207712.5903439451
2019-09-17,210455.02291309182
2019-09-18,210325.96407075523
2019-09-19,211261.62452757507
2019-09-20,204615.29440873407
2019-09-23,204808.87621219078
2019-09-24,196710.71486766532
2019-09-25,196033.1953011439
2019-09-26,196033.1953011439
2019-09-27,196033.1953011439
2019-09-30,196033.1953011439
2019-10-01,196033.1953011439
2019-10-02,196033.1953011439
2019-10-03,196033.1953011439
2019-10-04,196033.1953011439
2019-10-07,196033.1953011439
2019-10-08,196033.1953011439
2019-10-09,196033.1953011439
2019-10-10,196033.1953011439
2019-10-11,196033.1953011439
2019-10-14,196839.01825360378
2019-10-15,204308.4597796076
2019-10-16,202789.74358486445
2019-10-17,204184.46926944543
2019-10-18,198326.6933806877
2019-10-21,203564.553953022
2019-10-22,198853.59719729578
2019-10-23,199783.4019088873
2019-10-24,205517.1500530954
2019-10-25,210197.12779847477
2019-10-28,216612.81133711236
2019-10-29,211622.8821392525
2019-10-30,214598.23239342036
2019-10-31,214753.20191392934
2019-11-01,220579.9615579528
2019-11-04,224516.13276844643
2019-11-05,224795.11762204254
2019-11-06,223369.36328126484
2019-11-07,225631.87359943127
2019-11-08,228297.3096355061
2019-11-11,227336.51350210528
2019-11-12,229196.09810236335
2019-11-13,228855.18005099852
2019-11-14,228793.14756153
2019-11-15,233101.29030251014
2019-11-18,234310.01781038538
2019-11-19,235270.7891208612
2019-11-20,231148.74384828666
2019-11-21,229351.0924457973
2019-11-22,229970.99535075822
2019-11-25,237936.22515693604
2019-11-26,239361.97949771376
2019-11-27,244196.91435213966
2019-11-29,240942.5544214507
2019-12-02,233194.30180232547
2019-12-03,227956.3667612163
2019-12-04,231334.64273329257
2019-12-05,232543.41988701772
2019-12-06,239733.85173650045
2019-12-09,236789.5301385293
2019-12-10,236262.61391045878
2019-12-11,239826.83841339083
2019-12-12,245312.7048289744
2019-12-13,247513.23230352224
2019-12-16,254610.77676781442
2019-12-17,254951.64517332934
2019-12-18,255540.44495331866
2019-12-19,260747.37616115605
2019-12-20,263846.74174841103
2019-12-23,265799.3378484844
2019-12-24,266143.45805716875
2019-12-26,273057.4866372509
2019-12-27,272251.3621492596
2019-12-30,266825.6168579228
2019-12-31,268344.87915701506
2020-01-02,281645.7966827842
2020-01-03,273987.6512812543
2020-01-06,279196.41938553855
2020-01-07,278855.4020424739
2020-01-08,285273.2948214327
2020-01-09,292466.3579009609
2020-01-10,290079.0379161087
2020-01-13,300217.51480230613
2020-01-14,299442.4020122743
2020-01-15,299442.4020122743
2020-01-16,299442.4020122743
2020-01-17,299442.4020122743
2020-01-21,299442.4020122743
2020-01-22,299442.4020122743
2020-01-23,299442.4020122743
2020-01-24,299442.4020122743
2020-01-27,299442.4020122743
2020-01-28,299442.4020122743
2020-01-29,299442.4020122743
2020-01-30,299442.4020122743
2020-01-31,299442.4020122743
2020-02-03,299442.4020122743
2020-02-04,299442.4020122743
2020-02-05,299442.4020122743
2020-02-06,299442.4020122743
2020-02-07,299442.4020122743
2020-02-10,299442.4020122743
2020-02-11,299442.4020122743
