date,action,asset,price,shares,pnl,reason
2018-04-25,SELL,TQQQ,5.455386089792851,28680.319604113232,-14012.060959164111,TQQQ 5% loss exit
2018-05-10,BUY,TQQQ,6.478469212342187,24151.109080060924,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-07-05,SELL,TQQQ,6.8338925108143735,24151.109080060924,8583.866850996827,TQQQ Confirmed-Down proxy exit
2018-07-11,BUY,TQQQ,7.310566064240587,22576.375347650202,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-07-30,SELL,TQQQ,7.4829280270661584,22576.375347650202,3891.30836840783,TQQQ Confirmed-Down proxy exit
2018-09-21,BUY,TQQQ,8.351875024040863,20227.480817446514,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-10-08,SELL,TQQQ,7.588723961413443,20227.480817446514,-15436.62348011008,TQQQ 5% loss exit
2018-10-25,BUY,QQQ,159.86191966261035,960.208464169275,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2018-11-08,SELL,QQQ,166.38363163929924,960.208464169275,6262.203040890803,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-11-08,BUY,TQQQ,6.750683291613325,23666.192664934908,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2018-11-12,SELL,TQQQ,6.240725439249795,23666.192664934908,-12068.760785031744,TQQQ 5% loss exit
2019-01-08,BUY,TQQQ,4.8433938152285005,30493.950367997957,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2019-04-08,SELL,TQQQ,7.273028460355373,30493.950367997957,74089.15828086718,TQQQ 50% profit exit
2019-06-14,BUY,TQQQ,6.843171358717392,32409.442533188583,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2019-08-12,SELL,TQQQ,7.058694271694462,32409.442533188583,6984.977462715731,TQQQ Confirmed-Down proxy exit
2019-08-20,BUY,TQQQ,7.312322749358984,31285.31852315784,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2019-08-26,SELL,TQQQ,6.845553143063975,31285.31852315784,-14603.035809868365,TQQQ 5% loss exit
2019-09-12,BUY,TQQQ,7.904118930918548,27095.40587885262,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2019-09-25,SELL,TQQQ,7.234923742336098,27095.40587885262,-18132.11524681683,TQQQ 5% loss exit
2019-10-14,BUY,TQQQ,7.53141798731017,26028.723360122087,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-01-14,SELL,TQQQ,11.504306141692759,26028.723360122087,103409.20671113042,TQQQ 50% profit exit
2020-03-16,BUY,QQQ,167.64750699137846,1786.1428862623864,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2020-03-27,SELL,QQQ,180.33374802416697,1786.1428862623864,22659.439174125204,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-03-27,BUY,TQQQ,5.435303320060746,59261.06092323834,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-04-02,SELL,TQQQ,4.907615382981635,59261.06092323834,-31271.346987703175,TQQQ 5% loss exit
2020-05-06,BUY,TQQQ,8.283385162620371,35110.10154533184,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-07-07,SELL,TQQQ,13.168367801922267,35110.10154533184,171512.23651307268,TQQQ 50% profit exit
2020-08-07,BUY,TQQQ,15.559045694777646,29715.36556814363,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-08-12,SELL,TQQQ,14.425051079831336,29715.36556814363,-33697.06453543587,TQQQ 5% loss exit
2020-09-29,BUY,QQQ,267.322941207844,1603.4750487166775,,"QQQ RT10/RT15 crossover, RT <= 1.12"
2020-10-06,SELL,QQQ,270.05784139208856,1603.4750487166775,4385.344206166803,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-10-06,BUY,TQQQ,15.769879972066452,27459.372623605104,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-10-27,SELL,TQQQ,15.993821507871099,27459.372623605104,6149.294077562226,TQQQ Confirmed-Down proxy exit
2020-11-12,BUY,TQQQ,17.254080073008666,25453.707331930822,,"TQQQ entry: Confirmed Up, RT <= 1.40"
2020-11-23,SELL,TQQQ,17.369622447603916,25453.707331930822,2940.981787383789,TQQQ Confirmed-Down proxy exit
2020-11-25,BUY,TQQQ,18.07241177993645,24463.878514448097,,"TQQQ entry: Confirmed Up, RT <= 1.40"
