date,equity,ending_balance,tax_withdrawal,cumulative_tax_withdrawal,holding,branch,cash,shares
2024-02-23,128786.03284669775,128786.03284669775,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-02-26,128621.35774446386,128621.35774446386,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-02-27,129382.96598649878,129382.96598649878,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-02-28,127386.29447770971,127386.29447770971,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-02-29,130309.26545167822,130309.26545167822,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-01,136011.1106398191,136011.1106398191,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-04,134467.29969240088,134467.29969240088,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-05,127592.13432527441,127592.13432527441,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-06,129835.82654786963,129835.82654786963,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-07,135352.41829133886,135352.41829133886,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-08,129691.72978807348,129691.72978807348,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-11,128250.83473420996,128250.83473420996,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-12,133438.07627321142,133438.07627321142,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-13,130473.93249345678,130473.93249345678,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-14,129465.30353761572,129465.30353761572,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-15,124957.34074998755,124957.34074998755,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-18,128312.57782197851,128312.57782197851,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-19,129156.54779649634,129156.54779649634,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-20,133525.83851076025,133525.83851076025,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-21,135178.51396776098,135178.51396776098,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-22,135447.08027864355,135447.08027864355,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-25,134124.92379213232,134124.92379213232,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-26,132926.72904802221,132926.72904802221,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-27,134042.2718832578,134042.2718832578,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-03-28,133236.6051924314,133236.6051924314,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-01,134021.62099672217,134021.62099672217,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-02,130592.29221940893,130592.29221940893,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-03,131418.65815950293,131418.65815950293,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-04,125510.28798509497,125510.28798509497,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-05,129724.64868760962,129724.64868760962,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-08,129807.27641511816,129807.27641511816,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-09,131088.11500764746,131088.11500764746,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-10,127803.398859271,127803.398859271,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-11,133525.83851076025,133525.83851076025,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-12,127369.57709337134,127369.57709337134,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-15,121275.27639604468,121275.27639604468,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-16,121295.93534303564,121295.93534303564,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-17,117019.62198091406,117019.62198091406,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
2024-04-18,115036.40337205786,115036.40337205786,0.0,64594.819224547166,TQQQ,bull_trend,6062.376383074705,4226
