Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-02-12T14:35:00Z,QQQ,97.79,1157,Stop Market,Filled,113143.03,"EXIT_STOP" 
2016-02-12T14:35:00Z,QQQ,0,1157,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-16T14:35:00Z,QQQ,99.49,1289,Market,Filled,128242.61,"ENTRY_LONG | estimate=99.49 | stop=99.42 | shares=1289" 
2016-02-16T14:35:00Z,QQQ,99.42,-1289,Stop Market,Filled,-128152.38,"EXIT_STOP" 
2016-02-16T14:35:00Z,QQQ,0,-1289,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-17T14:35:00Z,QQQ,101.1,1265,Market,Filled,127891.5,"ENTRY_LONG | estimate=101.09 | stop=100.94 | shares=1265" 
2016-02-17T14:35:00Z,QQQ,100.94,-1265,Stop Market,Filled,-127689.1,"EXIT_STOP" 
2016-02-17T14:35:00Z,QQQ,0,-1265,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-18T14:35:00Z,QQQ,102.42,-794,Market,Filled,-81321.48,"ENTRY_SHORT | estimate=102.43 | stop=102.83 | shares=794" 
2016-02-18T14:35:00Z,QQQ,0,794,Stop Market,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-02-18T14:35:00Z,QQQ,0,794,Limit,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-02-18T20:40:00Z,QQQ,101.33,794,Market On Close,Filled,80456.02,"EXIT_EOD" 
2016-02-19T14:35:00Z,QQQ,101.18,960,Market,Filled,97132.8,"ENTRY_LONG | estimate=101.18 | stop=100.84 | shares=960" 
2016-02-19T14:35:00Z,QQQ,100.84,-960,Stop Market,Filled,-96806.4,"EXIT_STOP" 
2016-02-19T14:35:00Z,QQQ,0,-960,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-22T14:35:00Z,QQQ,102.6,1259,Market,Filled,129173.4,"ENTRY_LONG | estimate=102.60 | stop=102.48 | shares=1259" 
2016-02-22T14:35:00Z,QQQ,0,-1259,Stop Market,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-02-22T14:35:00Z,QQQ,0,-1259,Limit,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-02-22T20:40:00Z,QQQ,103.28,-1259,Market On Close,Filled,-130029.52,"EXIT_EOD" 
2016-02-23T14:35:00Z,QQQ,102.72,1291,Market,Filled,132611.52,"ENTRY_LONG | estimate=102.72 | stop=102.60 | shares=1291" 
2016-02-23T14:35:00Z,QQQ,102.6,-1291,Stop Market,Filled,-132456.6,"EXIT_STOP" 
2016-02-23T14:35:00Z,QQQ,0,-1291,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-24T14:35:00Z,QQQ,100.19,-1100,Market,Filled,-110209,"ENTRY_SHORT | estimate=100.20 | stop=100.50 | shares=1100" 
2016-02-24T14:35:00Z,QQQ,100.5,1100,Stop Market,Filled,110550,"EXIT_STOP" 
2016-02-24T14:35:00Z,QQQ,0,1100,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-25T14:35:00Z,QQQ,102.88,1270,Market,Filled,130657.6,"ENTRY_LONG | estimate=102.88 | stop=102.75 | shares=1270" 
2016-02-25T14:35:00Z,QQQ,102.75,-1270,Stop Market,Filled,-130492.5,"EXIT_STOP" 
2016-02-25T14:35:00Z,QQQ,0,-1270,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-26T14:35:00Z,QQQ,104.22,-1247,Market,Filled,-129962.34,"ENTRY_SHORT | estimate=104.22 | stop=104.35 | shares=1247" 
2016-02-26T14:35:00Z,QQQ,104.35,1247,Stop Market,Filled,130124.45,"EXIT_STOP" 
2016-02-26T14:35:00Z,QQQ,0,1247,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-02-29T14:35:00Z,QQQ,103.37,1251,Market,Filled,129315.87,"ENTRY_LONG | estimate=103.36 | stop=103.19 | shares=1251" 
2016-02-29T14:35:00Z,QQQ,103.19,-1251,Stop Market,Filled,-129090.69,"EXIT_STOP" 
2016-02-29T14:35:00Z,QQQ,0,-1251,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-01T14:35:00Z,QQQ,103.44,-1241,Market,Filled,-128369.04,"ENTRY_SHORT | estimate=103.44 | stop=103.60 | shares=1241" 
2016-03-01T14:35:00Z,QQQ,103.6,1241,Stop Market,Filled,128567.6,"EXIT_STOP" 
2016-03-01T14:35:00Z,QQQ,0,1241,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-02T14:35:00Z,QQQ,105.64,-1208,Market,Filled,-127613.12,"ENTRY_SHORT | estimate=105.65 | stop=105.76 | shares=1208" 
2016-03-02T14:35:00Z,QQQ,105.76,1208,Stop Market,Filled,127758.08,"EXIT_STOP" 
2016-03-02T14:35:00Z,QQQ,0,1208,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-03T14:35:00Z,QQQ,105.64,-1202,Market,Filled,-126979.28,"ENTRY_SHORT | estimate=105.64 | stop=105.73 | shares=1202" 
2016-03-03T14:35:00Z,QQQ,105.73,1202,Stop Market,Filled,127087.46,"EXIT_STOP" 
2016-03-03T14:35:00Z,QQQ,0,1202,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-04T14:35:00Z,QQQ,105.36,-703,Market,Filled,-74068.08,"ENTRY_SHORT | estimate=105.37 | stop=105.82 | shares=703" 
2016-03-04T14:35:00Z,QQQ,105.82,703,Stop Market,Filled,74391.46,"EXIT_STOP" 
2016-03-04T14:35:00Z,QQQ,0,703,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-07T14:35:00Z,QQQ,105.06,-1192,Market,Filled,-125231.52,"ENTRY_SHORT | estimate=105.07 | stop=105.14 | shares=1192" 
2016-03-07T14:35:00Z,QQQ,105.14,1192,Stop Market,Filled,125326.88,"EXIT_STOP" 
2016-03-07T14:35:00Z,QQQ,0,1192,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-08T14:35:00Z,QQQ,104.11,-1200,Market,Filled,-124932,"ENTRY_SHORT | estimate=104.12 | stop=104.32 | shares=1200" 
2016-03-08T14:35:00Z,QQQ,104.32,1200,Stop Market,Filled,125184,"EXIT_STOP" 
2016-03-08T14:35:00Z,QQQ,0,1200,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-09T14:35:00Z,QQQ,104.41,-1187,Market,Filled,-123934.67,"ENTRY_SHORT | estimate=104.41 | stop=104.60 | shares=1187" 
2016-03-09T14:35:00Z,QQQ,104.6,1187,Stop Market,Filled,124160.2,"EXIT_STOP" 
2016-03-09T14:35:00Z,QQQ,0,1187,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-10T14:35:00Z,QQQ,105.37,831,Market,Filled,87562.47,"ENTRY_LONG | estimate=105.37 | stop=105.00 | shares=831" 
2016-03-10T14:35:00Z,QQQ,105,-831,Stop Market,Filled,-87255,"EXIT_STOP" 
2016-03-10T14:35:00Z,QQQ,0,-831,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-11T14:35:00Z,QQQ,105.72,-1152,Market,Filled,-121789.44,"ENTRY_SHORT | estimate=105.72 | stop=105.92 | shares=1152" 
2016-03-11T14:35:00Z,QQQ,105.92,1152,Stop Market,Filled,122019.84,"EXIT_STOP" 
2016-03-11T14:35:00Z,QQQ,0,1152,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-14T13:35:00Z,QQQ,106.18,1138,Market,Filled,120832.84,"ENTRY_LONG | estimate=106.17 | stop=106.06 | shares=1138" 
2016-03-14T13:35:00Z,QQQ,0,-1138,Stop Market,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-03-14T13:35:00Z,QQQ,0,-1138,Limit,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
2016-03-14T19:40:00Z,QQQ,106.67,-1138,Market On Close,Filled,-121390.46,"EXIT_EOD" 
2016-03-15T13:35:00Z,QQQ,106.25,-1158,Market,Filled,-123037.5,"ENTRY_SHORT | estimate=106.26 | stop=106.43 | shares=1158" 
2016-03-15T13:35:00Z,QQQ,106.43,1158,Stop Market,Filled,123245.94,"EXIT_STOP" 
2016-03-15T13:35:00Z,QQQ,0,1158,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-16T13:35:00Z,QQQ,106.46,1148,Market,Filled,122216.08,"ENTRY_LONG | estimate=106.45 | stop=106.34 | shares=1148" 
2016-03-16T13:35:00Z,QQQ,0,-1148,Stop Market,Canceled,0,"Sibling canceled after TARGET_10R" 
2016-03-16T13:35:00Z,QQQ,107.66,-1148,Limit,Filled,-123593.68,"EXIT_TARGET_10R" 
2016-03-17T13:35:00Z,QQQ,107.42,1189,Market,Filled,127722.38,"ENTRY_LONG | estimate=107.42 | stop=107.18 | shares=1189" 
2016-03-17T13:35:00Z,QQQ,107.18,-1189,Stop Market,Filled,-127437.02,"EXIT_STOP" 
2016-03-17T13:35:00Z,QQQ,0,-1189,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-18T13:35:00Z,QQQ,107.37,-1179,Market,Filled,-126589.23,"ENTRY_SHORT | estimate=107.37 | stop=107.56 | shares=1179" 
2016-03-18T13:35:00Z,QQQ,107.56,1179,Stop Market,Filled,126813.24,"EXIT_STOP" 
2016-03-18T13:35:00Z,QQQ,0,1179,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-21T13:35:00Z,QQQ,107.35,1171,Market,Filled,125706.85,"ENTRY_LONG | estimate=107.34 | stop=107.16 | shares=1171" 
2016-03-21T13:35:00Z,QQQ,107.16,-1171,Stop Market,Filled,-125484.36,"EXIT_STOP" 
2016-03-21T13:35:00Z,QQQ,0,-1171,Limit,Canceled,0,"Sibling canceled after STOP" 
2016-03-22T13:35:00Z,QQQ,107.31,1163,Market,Filled,124801.53,"ENTRY_LONG | estimate=107.30 | stop=107.17 | shares=1163" 
2016-03-22T13:35:00Z,QQQ,0,-1163,Stop Market,Canceled,0,"Bracket canceled before MOC closing-auction fill" 
