date,qqq_close,cash,qqq_shares,open_spreads,equity
2016-01-27,100.58,12674.199999999884,0,1,12980.199999999884
2016-01-28,102.0,12674.199999999884,0,1,12944.199999999884
2016-01-29,104.13,12146.799999999885,0,2,13280.799999999885
2016-02-01,104.41,12146.799999999885,0,2,13298.799999999885
2016-02-02,102.15,12146.799999999885,0,2,12668.799999999885
2016-02-03,101.66,12146.799999999885,0,2,12524.799999999885
2016-02-04,101.65,12146.799999999885,0,2,12434.799999999885
2016-02-05,98.12,10870.599999999886,0,1,11932.599999999886
2016-02-08,96.62,10870.599999999886,0,1,11644.599999999886
2016-02-09,96.32,10870.599999999886,0,1,11590.599999999886
2016-02-10,96.69,10870.599999999886,0,1,11626.599999999886
2016-02-11,96.55,10870.599999999886,0,1,11608.599999999886
2016-02-12,98.02,9695.199999999886,0,2,11531.199999999886
2016-02-16,100.23,9695.199999999886,0,2,12575.199999999886
2016-02-17,102.5,9695.199999999886,0,2,14555.199999999886
2016-02-18,101.33,9695.199999999886,0,2,13439.199999999886
2016-02-19,101.63,8591.799999999886,0,3,12983.799999999886
2016-02-22,103.28,8591.799999999886,0,3,14441.799999999886
2016-02-23,101.58,8591.799999999886,0,3,12713.799999999886
2016-02-24,102.55,8591.799999999886,0,3,13919.799999999886
2016-02-25,103.56,8591.799999999886,0,3,14801.799999999886
2016-02-26,103.43,7668.399999999887,0,4,14076.399999999887
2016-02-29,102.5,7668.399999999887,0,4,12492.399999999889
2016-03-01,105.79,7668.399999999887,0,4,18810.399999999885
2016-03-02,105.83,7668.399999999887,0,4,18450.399999999885
2016-03-03,105.63,7668.399999999887,0,4,17640.399999999885
2016-03-04,105.67,6942.999999999887,0,5,17418.999999999887
2016-03-07,105.02,6942.999999999887,0,5,15636.999999999887
2016-03-08,104.15,6942.999999999887,0,5,13566.999999999887
2016-03-09,104.82,6942.999999999887,0,5,14610.999999999887
2016-03-10,104.66,6942.999999999887,0,5,12972.999999999887
2016-03-11,106.49,10046.199999999888,0,5,18470.199999999888
2016-03-14,106.67,10046.199999999888,0,5,18884.199999999888
2016-03-15,106.63,10046.199999999888,0,5,18524.199999999888
2016-03-16,107.58,10046.199999999888,0,5,20738.199999999888
2016-03-17,107.52,10046.199999999888,0,5,21080.199999999888
2016-03-18,107.37,14877.39999999989,0,5,20529.399999999892
2016-03-21,107.79,14877.39999999989,0,5,21339.399999999892
2016-03-22,108.12,14877.39999999989,0,5,22545.399999999892
2016-03-23,107.23,14877.39999999989,0,5,19287.399999999892
2016-03-24,107.26,15298.599999999891,0,5,18322.59999999989
2016-03-28,107.11,15298.599999999891,0,5,17584.59999999989
2016-03-29,108.83,15298.599999999891,0,5,20860.59999999989
2016-03-30,109.36,15298.599999999891,0,5,22498.59999999989
2016-03-31,109.2,15298.599999999891,0,5,21976.59999999989
2016-04-01,110.36,18869.79999999989,0,5,26537.79999999989
2016-04-04,109.94,18869.79999999989,0,5,24503.79999999989
2016-04-05,108.88,18869.79999999989,0,5,22613.79999999989
2016-04-06,110.67,18869.79999999989,0,5,26609.79999999989
2016-04-07,109.08,18869.79999999989,0,5,22469.79999999989
2016-04-08,109.0,18030.999999999887,0,5,21540.999999999887
2016-04-11,108.6,18030.999999999887,0,5,20730.999999999887
2016-04-12,109.51,18030.999999999887,0,5,21828.999999999887
2016-04-13,110.91,18030.999999999887,0,5,25266.999999999887
2016-04-14,110.92,18030.999999999887,0,5,25014.999999999887
2016-04-15,110.64,18344.199999999884,0,5,23546.199999999884
2016-04-18,111.23,18344.199999999884,0,5,23726.199999999884
2016-04-19,110.55,18344.199999999884,0,5,22124.199999999884
2016-04-20,110.64,18344.199999999884,0,5,22232.199999999884
2016-04-21,110.65,18344.199999999884,0,5,20540.199999999884
2016-04-22,108.98,17499.99999999988,0,4,18975.99999999988
2016-04-25,108.98,17499.99999999988,0,4,19029.99999999988
2016-04-26,108.45,17499.99999999988,0,4,18489.99999999988
2016-04-27,107.58,17499.99999999988,0,4,17967.99999999988
2016-04-28,106.28,17499.99999999988,0,4,17697.99999999988
2016-04-29,105.72,16716.999999999873,0,1,17292.999999999873
2016-05-02,106.72,16716.999999999873,0,1,17472.999999999873
2016-05-03,105.73,16716.999999999873,0,1,17256.999999999873
2016-05-04,105.05,16716.999999999873,0,1,17112.999999999873
2016-05-05,105.02,16716.999999999873,0,1,17022.999999999873
2016-05-06,105.58,15937.599999999873,0,2,16873.59999999987
2016-05-09,105.88,15937.599999999873,0,2,16819.599999999875
2016-05-10,107.33,15937.599999999873,0,2,17467.599999999875
2016-05-11,106.36,15937.599999999873,0,2,16891.599999999875
2016-05-12,105.89,15937.599999999873,0,2,16639.599999999875
2016-05-13,105.5,15068.199999999873,0,3,16328.199999999873
2016-05-16,106.82,15068.199999999873,0,3,17120.199999999873
2016-05-17,105.48,15068.199999999873,0,3,16112.199999999873
2016-05-18,105.86,15068.199999999873,0,3,16202.199999999873
2016-05-19,105.31,15068.199999999873,0,3,15968.199999999873
2016-05-20,106.47,14481.399999999874,0,3,16317.399999999874
2016-05-23,106.33,14481.399999999874,0,3,15903.399999999874
2016-05-24,108.46,14481.399999999874,0,3,18279.399999999874
2016-05-25,109.24,14481.399999999874,0,3,19377.399999999874
2016-05-26,109.56,14481.399999999874,0,3,19935.399999999874
2016-05-27,110.13,13665.999999999874,0,4,20631.999999999876
2016-05-31,110.34,13665.999999999874,0,4,21261.999999999876
2016-06-01,110.35,13665.999999999874,0,4,21135.999999999876
2016-06-02,110.58,13665.999999999874,0,4,21621.999999999876
2016-06-03,110.06,12904.599999999875,0,5,19618.599999999875
2016-06-06,110.46,12904.599999999875,0,5,20788.599999999875
2016-06-07,110.18,12904.599999999875,0,5,19600.599999999875
2016-06-08,110.37,12904.599999999875,0,5,19816.599999999875
2016-06-09,110.19,12904.599999999875,0,5,19186.599999999875
2016-06-10,108.94,11885.799999999876,0,5,15629.799999999876
