date,spy_price,long_strike,short_strike,debit,pnl,roi,win
2020-01-10,301.07,286,310,15.34,-5.09,-0.33,false
2020-01-13,303.14,288,312,15.39,-17.39,-1.13,false
2020-01-14,302.68,288,312,15.13,-17.19,-1.14,false
2020-01-17,306.84,291,316,16.05,-16.92,-1.05,false
2020-01-21,306.24,291,315,15.43,-17.53,-1.14,false
2020-01-24,303.9,289,313,15.21,-17.41,-1.14,false
2020-01-27,299.03,284,308,15.22,-17.42,-1.14,false
2020-01-28,302.16,287,311,15.3,-17.5,-1.14,false
2020-01-31,297.39,283,306,14.63,-16.83,-1.15,false
2020-02-03,299.6,285,309,15.05,-17.25,-1.15,false
2020-02-04,304.16,289,313,15.32,-17.52,-1.14,false
2020-02-07,307.07,292,316,15.29,-17.49,-1.14,false
2020-02-10,309.36,294,319,15.73,-17.93,-1.14,false
2020-02-11,309.9,294,319,15.99,-18.19,-1.14,false
2020-02-14,312.06,296,321,16.12,-18.32,-1.14,false
2020-02-18,311.25,296,321,15.69,-17.89,-1.14,false
2020-02-21,308.25,293,317,15.35,-17.55,-1.14,false
2020-02-24,298.03,283,307,15.25,-17.13,-1.12,false
2020-02-28,273.85,260,282,14.36,-9.45,-0.66,false
2020-03-02,285.71,271,294,14.88,-13.86,-0.93,false
2020-03-03,277.52,264,286,14.24,-6.74,-0.47,false
2020-03-06,274.96,261,283,14.45,-6.9,-0.48,false
2020-03-09,253.48,241,261,13.54,7.29,0.54,true
2020-03-10,266.6,253,275,14.45,-0.47,-0.03,false
2020-03-13,248.94,236,256,13.64,17.6,1.29,true
2020-03-16,221.7,211,228,12.48,45.86,3.67,true
2020-03-17,233.67,222,241,13.4,28.17,2.1,true
2020-03-20,212.73,202,219,11.83,48.03,4.06,true
2020-03-23,207.29,197,214,11.56,56.89,4.92,true
2020-03-24,226.08,215,233,12.37,42.84,3.46,true
2020-03-27,235.62,224,243,13.1,33.94,2.59,true
2020-03-30,243.28,231,251,13.44,20.26,1.51,true
2020-03-31,239.65,228,247,12.8,24.34,1.9,true
2020-04-03,230.76,219,238,12.51,40.76,3.26,true
2020-04-06,246.26,234,254,13.13,25.43,1.94,true
2020-04-07,246.51,234,254,13.22,25.91,1.96,true
2020-04-13,256.3,243,264,13.71,23.31,1.7,true
2020-04-14,263.86,251,272,13.61,16.88,1.24,true
2020-04-17,266.51,253,275,14.17,15.58,1.1,true
2020-04-20,261.82,249,270,13.76,25.18,1.83,true
2020-04-21,253.87,241,261,13.32,40.63,3.05,true
2020-04-24,263.1,250,271,13.6,34.86,2.56,true
2020-04-27,266.89,254,275,13.52,10.68,0.79,true
2020-04-28,265.67,252,274,14.08,15.11,1.07,true
2020-05-01,262.93,250,271,13.6,20.2,1.49,true
