date,strategy,QQQ,SPY,TQQQ_naive
2016-09-27,1.2603845362561008,1.0738559130040772,1.0252056879250482,1.224770642201836
2016-09-28,1.2603845362561008,1.075668328047122,1.0302943834118032,1.229357798165139
2016-09-29,1.2603845362561008,1.0678749433620291,1.02097303466971,1.206422018348625
2016-09-30,1.2603845362561008,1.0758495695514263,1.0286774147524609,1.2293577981651387
2016-10-02,1.2603845362561008,1.0758495695514263,1.0286774147524609,1.2293577981651387
2016-10-03,1.2603845362561008,1.0743090167648381,1.0262044038617013,1.2293577981651387
2016-10-04,1.2472828259000082,1.072677843226098,1.0209730346697101,1.2201834862385332
2016-10-05,1.2603845362561008,1.0764839148164922,1.0254910353355207,1.2339449541284415
2016-10-06,1.2682455624697562,1.0759401903035786,1.0262044038617013,1.229357798165139
2016-10-07,1.2603845362561008,1.0735840507476202,1.0226851191325437,1.224770642201836
2016-10-09,1.2603845362561008,1.0735840507476202,1.0226851191325437,1.224770642201836
2016-10-10,1.2839676148970673,1.0803806071590383,1.0280116041280254,1.2431192660550472
2016-10-11,1.2446624838287896,1.0649750792931572,1.0150282969515383,1.1926605504587169
2016-10-12,1.247282825900008,1.0640688717716347,1.0163599182004088,1.1926605504587169
2016-10-13,1.22632008933026,1.0602628001812404,1.0130308650782325,1.1788990825688086
2016-10-14,1.2394217996863526,1.0615314907113718,1.0135540019974318,1.1788990825688086
2016-10-16,1.2394217996863526,1.0615314907113718,1.0135540019974318,1.1788990825688086
2016-10-17,1.2315607734726968,1.0586316266425002,1.010034717268274,1.169724770642203
2016-10-18,1.2525235100424448,1.0680561848663335,1.0163599182004093,1.2018348623853226
2016-10-19,1.2551438521136633,1.0679655641141812,1.0190707185998953,1.2018348623853226
2016-10-20,1.2394217996863524,1.0666968735840496,1.0171684025300805,1.1972477064220197
2016-10-21,1.2472828259000077,1.0706841866787484,1.017643981547534,1.211009174311928
2016-10-23,1.2472828259000077,1.0706841866787484,1.017643981547534,1.211009174311928
2016-10-24,1.283967614897067,1.0835523334843669,1.021971750606363,1.2522935779816529
2016-10-25,1.273486246612193,1.0801087449025815,1.0185475816806957,1.2431192660550472
2016-10-26,1.252523510042445,1.07276846397825,1.0165025919056447,1.2155963302752306
2016-10-27,1.2446624838287894,1.067874943362029,1.0137917915061583,1.2018348623853226
2016-10-28,1.2394217996863528,1.061169007702763,1.0107956436961996,1.1788990825688088
2016-10-30,1.2394217996863528,1.061169007702763,1.0107956436961996,1.1788990825688088
2016-10-31,1.2394217996863528,1.0601721794290884,1.010843201597945,1.174311926605506
2016-11-01,1.2079776948317305,1.052197553239691,1.0035192847291572,1.151376146788992
2016-11-02,1.1742890738603278,1.0437698232895325,0.9974794312074947,1.1192660550458728
2016-11-03,1.140600452888925,1.033529678296329,0.9929138726399387,1.0871559633027537
2016-11-04,1.1261624724726096,1.0299048482102393,0.9918200408997953,1.0733944954128454
2016-11-06,1.1261624724726096,1.0299048482102393,0.9918200408997953,1.0733944954128454
2016-11-07,1.2079776948317305,1.054372451291345,1.0136966757026677,1.151376146788992
2016-11-08,1.2320409955255898,1.0612596284549154,1.0182622342702239,1.174311926605506
2016-11-09,1.2512916360806772,1.0661531490711365,1.029057877966424,1.192660550458717
2016-11-10,1.1887270542766433,1.0489352061622104,1.031626004660674,1.1330275229357811
2016-11-11,1.1887270542766433,1.0493883099229713,1.0292481095734052,1.1330275229357811
2016-11-13,1.1887270542766433,1.0493883099229713,1.0292481095734052,1.1330275229357811
2016-11-14,1.1454131130276968,1.038785681921159,1.0300565939030766,1.0917431192660563
2016-11-15,1.2031650346929588,1.0531943815133655,1.038093879298045,1.1467889908256894
2016-11-16,1.222415675248046,1.0594472134118704,1.0361440053264848,1.1651376146789
2016-11-17,1.251291636080677,1.067149977344811,1.0414704903219665,1.1926605504587167
2016-11-18,1.2368536556643615,1.0631626642501122,1.039140153136443,1.1788990825688084
2016-11-20,1.2368536556643615,1.0631626642501122,1.039140153136443,1.1788990825688084
2016-11-21,1.2705422766357644,1.0742183960126859,1.0469872069244301,1.2110091743119278
2016-11-22,1.2849802570520796,1.0774807430901667,1.0490321966994816,1.2247706422018358
2016-11-23,1.2705422766357641,1.0731309469868588,1.0496028915204259,1.2110091743119278
2016-11-24,1.2705422766357641,1.0731309469868588,1.0496028915204259,1.2110091743119278
2016-11-25,1.2801675969133077,1.0765745355686438,1.0535026394635465,1.2201834862385332
2016-11-27,1.2801675969133077,1.0765745355686438,1.0535026394635465,1.2201834862385332
2016-11-28,1.2753549367745358,1.0741277752605334,1.0485566176820273,1.2155963302752304
2016-11-29,1.2849802570520794,1.0778432260987754,1.0506016074570785,1.2247706422018358
2016-11-30,1.2464789759419048,1.0647938377888524,1.0480810386645736,1.1880733944954138
2016-12-01,1.174289073860327,1.046397825101947,1.0442288486231983,1.1192660550458724
2016-12-02,1.174289073860327,1.0484821024014488,1.0447519855423975,1.1238532110091752
