opened,closed,px_open,px_close,long_strike,short_strike,long_delta,short_delta,expiration,dte,days_held,contracts,debit,cost,entry_equity,equity_fraction,value_at_close,gross_pnl,fees,net_pnl,reason,multiple
2022-03-18,2022-04-14,351.49,338.43,371.0,386.0,0.20183,0.0702,2022-04-22,35,27,55,1.94,10670.0,580744.2540000001,0.01837297558522206,0.009999999999999998,-10615.0,143.0,-10758.0,SL,0.005154639175257731
2022-04-01,2022-04-14,361.85,338.43,381.0,396.0,0.20062,0.06758,2022-05-06,35,13,55,1.9,10450.0,598472.314,0.017461125194172308,0.07999999999999999,-10009.999999999998,143.0,-10152.999999999998,SL,0.04210526315789473
2022-04-08,2022-04-22,349.15,325.4,369.0,385.0,0.21949,0.07136,2022-05-13,35,14,55,2.14,11770.0,550509.614,0.021380189738157782,0.14,-11000.0,143.0,-11143.0,VIX,0.06542056074766356
2022-04-14,2022-04-22,338.43,325.4,358.0,372.0,0.21184,0.0751,2022-05-18,34,8,55,2.09,11495.0,521617.79400000005,0.02203720833956059,0.5700000000000001,-8359.999999999998,143.0,-8502.999999999998,VIX,0.27272727272727276
2022-05-27,2022-06-10,309.1,288.84,331.0,348.0,0.21062,0.06833,2022-07-01,35,14,55,2.23,12265.0,466672.6540000001,0.026281805661576212,0.16,-11384.999999999998,143.0,-11527.999999999998,SL,0.07174887892376682
2022-06-03,2022-06-17,306.2,274.69,327.0,343.0,0.21087,0.0689,2022-07-08,35,14,55,2.19,12045.0,456566.05400000006,0.02638172482266936,0.09000000000000001,-11550.0,143.0,-11693.0,VIX,0.04109589041095891
2022-07-01,2022-08-05,282.13,321.75,304.0,320.0,0.21021,0.07285,2022-08-05,35,35,55,2.0999999999999996,11549.999999999998,404758.764,0.028535515539819162,15.540000000000001,73920.00000000001,143.0,73777.00000000001,EXP,7.400000000000002
2022-07-08,2022-08-12,295.35,330.39,316.0,330.0,0.2164,0.08373,2022-08-12,35,35,55,2.0199999999999996,11109.999999999996,434872.7240000001,0.02554770484984474,13.76,64570.0,143.0,64427.0,EXP,6.8118811881188135
2022-07-15,2022-08-12,291.87,330.39,312.0,327.0,0.20992,0.06991,2022-08-19,35,28,55,2.01,11054.999999999998,415510.8240000001,0.026605805099315524,12.639999999999999,58465.0,143.0,58322.0,TP,6.288557213930348
2022-07-22,2022-08-26,301.99,307.44,322.0,340.0,0.21952,0.06146,2022-08-26,35,35,55,2.2600000000000002,12430.000000000002,453187.36400000006,0.027427949204691417,0.0,-12430.000000000002,143.0,-12573.000000000002,EXP,0.0
