date,qqq_close,cash,qqq_shares,open_spreads,equity
2017-04-03,132.3,61.44399999999541,394,4,54637.644
2017-04-04,132.51,61.44399999999541,394,4,54620.38399999999
2017-04-05,131.97,61.44399999999541,394,4,53707.623999999996
2017-04-06,132.04,61.44399999999541,394,4,53435.20399999999
2017-04-07,131.97,8.64399999999523,384,3,52785.12399999999
2017-04-10,132.02,8.64399999999523,384,3,53004.324
2017-04-11,131.45,8.64399999999523,384,3,52285.44399999999
2017-04-12,130.92,8.64399999999523,384,3,51506.92399999999
2017-04-13,130.4,6.4439999999954125,377,3,50742.244
2017-04-17,131.48,6.4439999999954125,377,3,51349.403999999995
2017-04-18,131.28,6.4439999999954125,377,3,51124.00399999999
2017-04-19,131.49,6.4439999999954125,377,3,51353.174
2017-04-20,132.59,6.4439999999954125,377,3,52892.873999999996
2017-04-21,132.56,32.10399999999572,366,4,51574.064
2017-04-24,134.16,32.10399999999572,366,4,54159.66399999999
2017-04-25,135.13,32.10399999999572,366,4,58064.683999999994
2017-04-26,134.94,32.10399999999572,366,4,56845.144
2017-04-27,135.75,32.10399999999572,366,4,61891.60399999999
2017-04-28,135.99,33.29399999999532,385,4,61439.443999999996
2017-05-01,137.2,33.29399999999532,385,4,65380.29399999999
2017-05-02,137.43,33.29399999999532,385,4,66093.844
2017-05-03,136.99,33.29399999999532,385,4,64224.443999999996
2017-05-04,137.04,33.29399999999532,385,4,64943.69399999999
2017-05-05,137.54,79.55399999999645,416,4,66721.19399999999
2017-05-08,137.84,79.55399999999645,416,4,67370.994
2017-05-09,138.32,79.55399999999645,416,4,69145.674
2017-05-10,138.4,79.55399999999645,416,4,69403.954
2017-05-11,138.29,79.55399999999645,416,4,69333.19399999999
2017-05-12,138.6,52.55399999999463,461,4,70672.154
2017-05-15,139.04,52.55399999999463,461,4,71249.99399999999
2017-05-16,139.62,52.55399999999463,461,4,72692.374
2017-05-17,136.07,52.55399999999463,461,4,66105.824
2017-05-18,137.26,52.55399999999463,461,4,67779.41399999999
2017-05-19,137.84,9.933999999994626,454,5,67814.294
2017-05-22,139.0,9.933999999994626,454,5,70965.934
2017-05-23,139.14,9.933999999994626,454,5,71204.49399999999
2017-05-24,139.78,9.933999999994626,454,5,72995.054
2017-05-25,140.97,9.933999999994626,454,5,77835.31399999998
2017-05-26,141.22,51.63399999999365,469,5,78508.81399999998
2017-05-30,141.34,51.63399999999365,469,5,78290.094
2017-05-31,141.29,51.63399999999365,469,5,79216.64399999999
2017-06-01,141.84,51.63399999999365,469,5,81599.594
2017-06-02,143.46,104.8539999999939,537,4,87292.874
2017-06-05,143.43,104.8539999999939,537,4,87456.764
2017-06-06,142.86,104.8539999999939,537,4,86040.674
2017-06-07,143.42,104.8539999999939,537,4,87271.39399999999
2017-06-08,143.57,104.8539999999939,537,4,87481.94399999999
2017-06-09,139.98,56.313999999993484,510,4,76501.11399999999
2017-06-12,139.23,56.313999999993484,510,4,73768.61399999999
2017-06-13,140.36,56.313999999993484,510,4,74954.914
2017-06-14,139.75,56.313999999993484,510,4,73568.814
2017-06-15,139.13,56.313999999993484,510,4,72222.614
2017-06-16,138.15,71.86399999999412,493,2,70579.81399999998
2017-06-19,140.46,71.86399999999412,493,2,73883.644
2017-06-20,139.36,71.86399999999412,493,2,72021.34400000001
2017-06-21,140.74,71.86399999999412,493,2,74801.68400000001
2017-06-22,140.7,71.86399999999412,493,2,74001.96399999998
2017-06-23,141.24,20.143999999993866,471,2,73914.18400000001
2017-06-26,140.58,20.143999999993866,471,2,71898.32400000001
2017-06-27,138.03,20.143999999993866,471,2,67287.27399999999
2017-06-28,140.02,20.143999999993866,471,2,70644.564
2017-06-29,137.59,20.143999999993866,471,2,66200.034
2017-06-30,137.64,127.86399999999367,448,2,65310.58399999999
2017-07-03,136.190002,127.86399999999367,448,2,62735.98489599999
2017-07-05,137.53,127.86399999999367,448,2,64326.304
2017-07-06,136.29,127.86399999999367,448,2,62450.78399999999
2017-07-07,137.76,17.823999999994157,427,2,62966.34399999999
2017-07-10,138.66,17.823999999994157,427,2,64780.64399999999
2017-07-11,139.05,17.823999999994157,427,2,65937.174
2017-07-12,140.7,17.823999999994157,427,2,70161.72399999999
2017-07-13,141.01,17.823999999994157,427,2,70459.09399999998
2017-07-14,142.12,125.84399999999414,406,3,73391.564
2017-07-17,142.19,125.84399999999414,406,3,74629.984
2017-07-18,143.14,125.84399999999414,406,3,78150.684
2017-07-19,143.98,125.84399999999414,406,3,81076.72399999999
2017-07-20,144.17,125.84399999999414,406,3,82968.864
2017-07-21,144.11,63.32399999999461,388,4,81553.004
2017-07-24,144.77,63.32399999999461,388,4,83954.084
2017-07-25,144.4,63.32399999999461,388,4,82490.524
2017-07-26,144.87,63.32399999999461,388,4,84047.88399999999
2017-07-27,143.96,63.32399999999461,388,4,78139.804
2017-07-28,143.84,105.94399999999496,370,5,78681.744
2017-07-31,143.23,105.94399999999496,370,5,73231.044
2017-08-01,143.56,105.94399999999496,370,5,72033.144
2017-08-02,143.95,105.94399999999496,370,5,75587.44399999999
2017-08-03,143.39,105.94399999999496,370,5,69715.24399999999
2017-08-04,143.65,89.39399999999478,387,4,68111.944
2017-08-07,144.56,89.39399999999478,387,4,72699.114
2017-08-08,144.31,89.39399999999478,387,4,70622.364
2017-08-09,144.12,89.39399999999478,387,4,70438.834
2017-08-10,141.03,89.39399999999478,387,4,56098.00399999999
2017-08-11,142.1,51.1939999999945,369,2,56226.094
2017-08-14,143.93,51.1939999999945,369,2,58771.364
2017-08-15,144.03,51.1939999999945,369,2,58313.263999999996
2017-08-16,144.28,51.1939999999945,369,2,58460.513999999996
2017-08-17,141.33,51.1939999999945,369,2,54291.964
2017-08-18,141.23,124.02399999999398,348,2,53067.063999999984
2017-08-21,141.05,124.02399999999398,348,2,52399.424
2017-08-22,143.2,124.02399999999398,348,2,55457.623999999996
2017-08-23,142.69,124.02399999999398,348,2,53905.144
2017-08-24,142.27,124.02399999999398,348,2,53318.984
2017-08-25,141.97,95.86399999999367,326,3,51603.083999999995
2017-08-28,142.41,95.86399999999367,326,3,51691.52399999999
2017-08-29,142.97,95.86399999999367,326,3,52974.083999999995
2017-08-30,144.65,95.86399999999367,326,3,59351.763999999996
2017-08-31,146.2,95.86399999999367,326,3,66072.06399999998
2017-09-01,146.0,88.36399999999321,312,4,63350.363999999994
2017-09-05,144.69,88.36399999999321,312,4,56671.64399999999
2017-09-06,145.13,88.36399999999321,312,4,57963.92399999999
2017-09-07,145.47,88.36399999999321,312,4,59115.00399999999
2017-09-08,144.21,52.723999999992884,296,4,51648.884
2017-09-11,145.87,52.723999999992884,296,4,57805.244
2017-09-12,146.22,52.723999999992884,296,4,59503.844
2017-09-13,146.42,52.723999999992884,296,4,58903.043999999994
2017-09-14,145.56,52.723999999992884,296,4,52433.484
2017-09-15,146.06,122.44399999999268,284,4,53703.484
2017-09-18,145.55,122.44399999999268,284,4,51908.644
2017-09-19,145.8,122.44399999999268,284,4,52419.644
2017-09-20,145.35,122.44399999999268,284,4,48441.844
2017-09-21,144.46,122.44399999999268,284,4,44229.083999999995
2017-09-22,144.32,67.88399999999228,267,4,42781.323999999986
2017-09-25,142.8,67.88399999999228,267,4,39955.484
2017-09-26,143.17,67.88399999999228,267,4,39944.27399999999
2017-09-27,144.46,67.88399999999228,267,4,42323.70399999999
2017-09-28,144.41,67.88399999999228,267,4,41320.35399999999
2017-09-29,145.45,103.43399999999201,248,4,42225.03399999999
2017-10-02,145.58,103.43399999999201,248,4,41102.274
2017-10-03,145.89,103.43399999999201,248,4,41344.15399999999
2017-10-04,146.03,103.43399999999201,248,4,41543.873999999996
2017-10-05,147.46,103.43399999999201,248,4,47673.513999999996
2017-10-06,147.66,26.51399999999194,235,5,46441.61399999999
2017-10-09,147.49,26.51399999999194,235,5,45851.66399999999
2017-10-10,147.6,26.51399999999194,235,5,45052.513999999996
2017-10-11,148.04,26.51399999999194,235,5,46255.91399999999
2017-10-12,147.77,26.51399999999194,235,5,44597.46399999999
2017-10-13,148.34,116.97399999999197,216,5,45853.41399999999
2017-10-16,148.85,116.97399999999197,216,5,49318.57399999999
2017-10-17,149.04,116.97399999999197,216,5,49029.61399999999
2017-10-18,148.86,116.97399999999197,216,5,47065.734
2017-10-19,148.31,116.97399999999197,216,5,43756.933999999994
2017-10-20,148.71,37.20399999999199,203,5,44140.33399999999
2017-10-23,147.74,37.20399999999199,203,5,38113.42399999999
2017-10-24,147.99,37.20399999999199,203,5,38604.17399999999
2017-10-25,147.43,37.20399999999199,203,5,36565.49399999999
2017-10-26,146.96,37.20399999999199,203,5,35920.08399999999
2017-10-27,151.24,46.08399999998983,266,5,65245.92399999999
2017-10-30,151.58,46.08399999998983,266,5,66491.364
2017-10-31,152.15,46.08399999998983,266,5,71647.984
2017-11-01,152.1,46.08399999998983,266,5,69709.68399999998
2017-11-02,151.81,46.08399999998983,266,5,67157.544
2017-11-03,153.27,147.0739999999878,329,5,77137.90399999998
2017-11-06,153.79,147.0739999999878,329,5,81323.98399999998
2017-11-07,153.88,147.0739999999878,329,5,82123.59399999998
2017-11-08,154.5,147.0739999999878,329,5,88432.57399999998
2017-11-09,153.69,147.0739999999878,329,5,81786.08399999999
2017-11-10,153.68,91.31399999998757,361,5,78944.794
