opened,closed,px_open,px_close,long_strike,short_strike,long_delta,short_delta,expiration,dte,days_held,contracts,debit,cost,entry_equity,equity_fraction,value_at_close,gross_pnl,fees,net_pnl,reason,multiple
2022-12-16,2022-12-28,274.25,260.1,292.0,305.0,0.21521,0.07123,2023-01-20,35,12,13,1.65,2145.0,147014.10000000024,0.014590437243774554,0.19,-1898.0,33.800000000000004,-1931.8000000000002,SL,0.11515151515151516
2022-12-23,2023-01-26,267.36,293.34,285.0,299.0,0.21039,0.06946,2023-01-27,35,34,13,1.71,2223.0,145290.30000000025,0.015300402022708992,7.819999999999999,7943.0,33.800000000000004,7909.200000000001,EXP,4.573099415204678
2022-12-30,2023-02-01,266.28,300.92,285.0,300.0,0.21515,0.06473,2023-02-03,35,33,13,2.01,2612.9999999999995,144229.50000000026,0.01811695942924294,12.66,13845.0,33.800000000000004,13811.2,TP,6.298507462686568
2023-01-06,2023-02-01,268.8,300.92,287.0,300.0,0.20387,0.07336,2023-02-10,35,26,13,1.68,2184.0,143484.60000000027,0.015221145683927028,10.05,10881.000000000002,33.800000000000004,10847.200000000003,TP,5.982142857142858
2023-01-13,2023-02-07,280.97,309.88,297.0,310.0,0.21277,0.06841,2023-02-17,35,25,13,1.63,2119.0,149785.70000000027,0.014146877839473302,8.65,9126.0,33.800000000000004,9092.2,TP,5.30674846625767
2023-01-20,2023-02-15,282.68,309.1,300.0,310.0,0.1946,0.07157,2023-02-24,35,26,13,1.3,1690.0,150496.80000000028,0.011229474646636983,7.02,7436.0,33.800000000000004,7402.200000000001,TP,5.3999999999999995
2023-02-03,2023-02-17,306.18,301.16,326.0,340.0,0.2052,0.07478,2023-03-10,35,14,13,1.62,2106.0,192766.3000000003,0.010925146148470954,0.24,-1794.0,33.800000000000004,-1827.8000000000002,SL,0.14814814814814814
2023-01-27,2023-02-21,296.26,294.03,314.0,325.0,0.21245,0.08147,2023-03-03,35,25,13,1.5300000000000002,1989.0000000000005,177412.0000000003,0.011211192027596765,0.16,-1781.0000000000005,33.800000000000004,-1814.8000000000006,SL,0.1045751633986928
2023-02-10,2023-02-24,299.7,291.85,320.0,335.0,0.20473,0.07086,2023-03-17,35,14,13,1.88,2444.0,188923.50000000032,0.012936453114620446,0.21,-2171.0,33.800000000000004,-2204.8,SL,0.11170212765957448
2023-02-17,2023-03-09,301.16,292.66,319.0,332.0,0.21624,0.07072,2023-03-24,35,20,13,1.8399999999999999,2392.0,190198.80000000034,0.012576314887370455,0.2,-2132.0,33.800000000000004,-2165.8,SL,0.10869565217391305
2023-02-24,2023-03-30,291.85,315.68,310.0,323.0,0.21534,0.07222,2023-03-31,35,34,13,1.81,2353.0,186274.10000000036,0.01263192252707164,5.91,5329.999999999999,33.800000000000004,5296.2,EXP,3.2651933701657456
2023-03-10,2023-03-31,288.55,320.93,308.0,322.0,0.20592,0.06509,2023-04-14,35,21,13,1.7200000000000002,2236.0000000000005,182427.40000000037,0.012256930702295795,9.91,10647.0,33.800000000000004,10613.2,TP,5.761627906976743
2023-03-03,2023-04-05,299.68,315.92,316.0,330.0,0.2214,0.05992,2023-04-06,34,33,13,1.91,2483.0,187726.20000000036,0.013226709963766353,1.18,-949.0,33.800000000000004,-982.8,EXP,0.6178010471204188
2023-03-17,2023-04-18,305.36,318.86,325.0,338.0,0.20683,0.07192,2023-04-21,35,32,13,1.7800000000000002,2314.0000000000005,193772.50000000038,0.01194183901224372,0.25,-1989.0000000000005,33.800000000000004,-2022.8000000000006,SL,0.14044943820224717
2023-03-31,2023-04-18,320.93,318.86,340.0,355.0,0.20462,0.05452,2023-05-05,35,18,13,1.73,2249.0,211020.9000000004,0.010657712103398269,0.24,-1937.0,33.800000000000004,-1970.8000000000002,SL,0.13872832369942195
2023-03-24,2023-04-20,310.89,316.28,330.0,342.0,0.20793,0.06567,2023-04-28,35,27,13,1.65,2145.0,197499.60000000038,0.01086078149019034,0.19,-1898.0,33.800000000000004,-1931.8000000000002,SL,0.11515151515151516
2023-04-14,2023-04-26,318.57,311.87,335.0,347.0,0.2154,0.06672,2023-05-19,35,12,13,1.6700000000000002,2171.0000000000005,196622.1000000004,0.011041485163671814,0.22999999999999998,-1872.0000000000005,33.800000000000004,-1905.8000000000006,SL,0.13772455089820357
2023-04-21,2023-05-25,316.61,339.72,332.0,342.0,0.21694,0.07672,2023-05-26,35,34,13,1.48,1924.0,193681.50000000044,0.009933834671871065,7.25,7501.0,33.800000000000004,7467.200000000001,EXP,4.898648648648649
2023-04-28,2023-05-26,322.56,348.4,338.0,348.0,0.20644,0.06728,2023-06-02,35,28,13,1.3800000000000001,1794.0,193790.70000000045,0.00925741018531847,7.460000000000001,7904.000000000002,33.800000000000004,7870.200000000003,TP,5.405797101449275
2023-05-05,2023-06-01,322.89,352.01,338.0,346.0,0.19827,0.07459,2023-06-09,35,27,13,1.19,1547.0,192291.80000000045,0.008045064844158702,6.74,7215.000000000002,33.800000000000004,7181.200000000003,TP,5.663865546218488
2023-05-12,2023-06-01,325.03,352.01,340.0,349.0,0.20249,0.0683,2023-06-16,35,20,13,1.24,1612.0,191130.90000000046,0.008434010408573372,6.710000000000001,7111.000000000002,33.800000000000004,7077.200000000003,TP,5.411290322580646
2023-05-19,2023-06-13,336.51,363.26,350.0,362.0,0.2228,0.06288,2023-06-23,35,25,13,1.58,2054.0,204790.00000000047,0.010029786610674326,8.89,9503.0,33.800000000000004,9469.2,TP,5.6265822784810124
2023-06-16,2023-06-26,367.93,357.68,386.0,402.0,0.21561,0.07113,2023-07-21,35,10,13,1.83,2379.0,242038.90000000052,0.009828998561801408,0.29,-2002.0,33.800000000000004,-2035.8000000000002,SL,0.15846994535519124
2023-05-26,2023-06-29,348.4,363.81,366.0,379.0,0.20829,0.07056,2023-06-30,35,34,13,1.63,2119.0,224616.30000000048,0.009433865663355667,0.74,-1156.9999999999998,33.800000000000004,-1190.8,EXP,0.45398773006134974
2023-06-02,2023-07-06,354.65,367.46,372.0,384.0,0.20208,0.07076,2023-07-07,35,34,13,1.4,1820.0,228907.6000000005,0.007950806351558428,0.22999999999999998,-1521.0,33.800000000000004,-1554.8000000000002,EXP,0.16428571428571428
2023-06-09,2023-07-13,354.5,379.15,372.0,384.0,0.19971,0.06962,2023-07-14,35,34,13,1.37,1781.0,227343.7000000005,0.007833953612965726,7.04,7371.0,33.800000000000004,7337.200000000001,EXP,5.138686131386861
2023-06-23,2023-07-27,362.54,376.62,380.0,394.0,0.22061,0.07304,2023-07-28,35,34,13,1.9099999999999997,2482.9999999999995,231583.00000000052,0.010721857822033543,0.59,-1715.9999999999995,33.800000000000004,-1749.7999999999997,EXP,0.3089005235602095
2023-06-30,2023-08-02,369.42,374.39,388.0,402.0,0.20944,0.06972,2023-08-04,35,33,13,1.59,2067.0,231987.30000000054,0.0089099705026956,0.049999999999999996,-2002.0,33.800000000000004,-2035.8000000000002,SL,0.03144654088050314
