date,qqq_close,cash,qqq_shares,open_spreads,equity
2013-11-19,82.9,27552.79999999998,0,2,27795.79999999998
2013-11-20,82.7,27552.79999999998,0,2,27723.79999999998
2013-11-21,83.54,27552.79999999998,0,2,27867.79999999998
2013-11-22,83.99,27262.09999999998,0,3,27946.09999999998
2013-11-25,84.19,27262.09999999998,0,3,27946.09999999998
2013-11-26,84.63,27262.09999999998,0,3,28225.09999999998
2013-11-27,85.22,27262.09999999998,0,3,28630.09999999998
2013-11-29,85.73,27016.39999999998,0,4,29140.39999999998
2013-12-02,85.48,27016.39999999998,0,4,28807.39999999998
2013-12-03,85.41,27016.39999999998,0,4,28654.39999999998
2013-12-04,85.49,27016.39999999998,0,4,28744.39999999998
2013-12-05,85.38,27490.69999999998,0,3,28633.69999999998
2013-12-06,86.0,27235.999999999978,0,4,28909.999999999978
2013-12-09,86.35,27235.999999999978,0,4,29116.999999999978
2013-12-10,86.29,27235.999999999978,0,4,29071.999999999978
2013-12-11,85.18,27235.999999999978,0,4,28072.999999999978
2013-12-12,84.96,27235.999999999978,0,4,27874.999999999978
2013-12-13,84.85,27235.999999999978,0,4,27766.999999999978
2013-12-16,85.32,27235.999999999978,0,4,27982.999999999978
2013-12-17,85.15,27235.999999999978,0,4,27811.999999999978
2013-12-18,86.14,27235.999999999978,0,4,28432.999999999978
2013-12-19,85.9,27235.999999999978,0,4,27775.999999999978
2013-12-20,86.5,27347.599999999977,0,4,28454.599999999977
2013-12-23,87.41,27347.599999999977,0,4,29417.599999999977
2013-12-24,87.45,27347.599999999977,0,4,29462.599999999977
2013-12-26,87.74,28784.899999999976,0,3,29792.899999999976
2013-12-27,87.52,28494.199999999975,0,4,29475.199999999975
2013-12-30,87.39,28494.199999999975,0,4,29259.199999999975
2013-12-31,87.96,28494.199999999975,0,4,29844.199999999975
2014-01-02,87.27,28506.799999999974,0,2,28983.799999999974
2014-01-03,86.64,28270.099999999973,0,3,28684.099999999973
2014-01-06,86.32,28270.099999999973,0,3,28540.099999999973
2014-01-07,87.12,28270.099999999973,0,3,28702.099999999973
2014-01-08,87.31,28270.099999999973,0,3,28810.099999999973
2014-01-09,87.02,28270.099999999973,0,3,28648.099999999973
2014-01-10,87.3,28270.099999999973,0,3,28666.099999999973
2014-01-13,86.01,28315.99999999997,0,0,28315.99999999997
2014-01-14,87.65,28315.99999999997,0,0,28315.99999999997
2014-01-15,88.37,28315.99999999997,0,0,28315.99999999997
2014-01-16,88.38,28315.99999999997,0,0,28315.99999999997
2014-01-17,87.88,28315.99999999997,0,0,28315.99999999997
2014-01-21,88.55,28315.99999999997,0,0,28315.99999999997
2014-01-22,88.78,28315.99999999997,0,0,28315.99999999997
2014-01-23,88.48,28315.99999999997,0,0,28315.99999999997
2014-01-24,86.74,27926.29999999997,0,1,28178.29999999997
2014-01-27,85.9,27926.29999999997,0,1,28088.29999999997
