date,strategy_sector_rotation,strategy_regime_risk_on_off,QQQ,SPY,risk_on
2019-07-25,2.236758824104439,2.343670099947157,1.7516991391028522,1.426737052361247,1
2019-07-26,2.273596279273549,2.3860255836811413,1.7697326687811485,1.4362961906120675,1
2019-07-29,2.2631869581714694,2.3821750851598695,1.7636610783869484,1.4336805060160718,1
2019-07-30,2.2465592525830296,2.3334021038904322,1.75604893520616,1.4301612212869144,1
2019-07-31,2.1916755365783267,2.2255881452948345,1.7317625736293587,1.4145146716126857,1
2019-08-01,2.1597739515228604,2.1947841571246642,1.7231536021748957,1.4021971750606335,1
2019-08-02,2.1147540029991627,2.0779857019794337,1.6977797915722677,1.3916393208731603,1
2019-08-05,2.0199643517853465,1.911130766057675,1.6377888536474827,1.3497883673372304,1
2019-08-06,2.0199643517853465,1.911130766057675,1.660715903942,1.3687164122318896,1
2019-08-07,2.0199643517853465,1.911130766057675,1.6696873584050722,1.369524896561561,1
2019-08-08,2.0199643517853465,1.911130766057675,1.7060262800181216,1.3963951110476978,1
2019-08-09,2.0199643517853465,1.911130766057675,1.6899864068871748,1.3868835306986227,1
2019-08-12,2.0199643517853465,1.911130766057675,1.6705935659265945,1.3700004755790145,1
2019-08-13,2.0199643517853465,1.911130766057675,1.707204349796101,1.3913064155609427,1
2019-08-14,2.0199643517853465,1.911130766057675,1.6561848663343879,1.3501688305511934,1
2019-08-15,2.0199643517853465,1.911130766057675,1.6542818305391909,1.3537356731820964,1
2019-08-16,2.0199643517853465,1.911130766057675,1.6808337109197977,1.3737099919151543,1
2019-08-19,2.0199643517853465,1.911130766057675,1.7075668328047096,1.3902601417225446,1
2019-08-20,2.0199643517853465,1.911130766057675,1.694336202990482,1.3796071717315805,1
2019-08-21,2.0199643517853465,1.911130766057675,1.7093792478477543,1.3908308365434892,1
2019-08-22,2.0199643517853465,1.911130766057675,1.7038513819664676,1.3904028154277808,1
2019-08-23,2.0199643517853465,1.911130766057675,1.6499320344358832,1.3546868312170042,1
2019-08-26,2.0199643517853465,1.911130766057675,1.6748527412777496,1.3696675702667973,1
2019-08-27,2.0199643517853465,1.911130766057675,1.6713185319438124,1.3642935273695698,1
2019-08-28,2.0199643517853465,1.911130766057675,1.6772995015858603,1.3739002235221356,1
2019-08-29,2.0199643517853465,1.911130766057675,1.7029451744449449,1.391449089266179,1
2019-08-30,2.0199643517853465,1.911130766057675,1.698867240598094,1.3908308365434892,1
2019-09-02,2.0199643517853465,1.911130766057675,1.698867240598094,1.3908308365434892,1
2019-09-03,2.0199643517853465,1.911130766057675,1.6823742637063857,1.38269843534503,1
2019-09-04,2.0199643517853465,1.911130766057675,1.706660625283187,1.398392542921004,1
2019-09-05,2.0199643517853465,1.911130766057675,1.7379247847757104,1.4163694297807554,1
2019-09-06,2.0199643517853465,1.911130766057675,1.736202990484818,1.417463261520899,1
2019-09-09,2.0199643517853465,1.911130766057675,1.7325781603987283,1.4181766300470795,1
2019-09-10,2.0199643517853465,1.911130766057675,1.7275940190303547,1.4178437247348619,1
